year,region,czone,czname,cz_shmarried,cz_shcohabit,cz_shunpmom,cz_shunpdad,cz_shneither,cz_povrate,cz_shpov_mar,cz_shpov_coh,cz_shpov_unpmom,cz_shpov_unpdad,cz_shpov_neither,cz_hhinc,cz_hhinc_mar,cz_hhinc_coh,cz_hhinc_unpmom,cz_hhinc_unpdad,cz_hhinc_neither
2010,east south central div,100,"Johnson City, TN",62.545319,5.9135818,22.262201,4.4400458,4.8388543,19.587267,10.599743,31.512749,36.320587,27.02046,37.376785,42000,51300,28400,21100,25400,37000
2010,east south central div,200,"Morristown, TN",66.139801,7.9918065,17.446445,3.7654691,4.6564822,16.338654,10.348921,7.902606,43.694351,4.8957391,22.653957,47000,57000,45000,16400,55200,48600
2010,east south central div,301,"Middlesborough, TN",69.603416,4.5395603,16.693438,4.2417526,4.9218345,19.274313,12.001667,30.043884,44.939327,10.71858,32.514492,41300,45000,35000,20800,48000,25200
2010,east south central div,302,"Knoxville, TN",65.592476,5.110208,21.021965,3.4072948,4.8680568,14.899522,10.449629,22.431982,25.271315,9.8006792,25.730303,49800,62000,31000,25000,36200,39200
2010,south atlantic division,401,"Winston-Salem, NC",60.466034,6.5215497,25.299797,3.1376355,4.574985,17.115385,8.2712059,32.004185,31.474945,20.254271,31.220766,49000,61600,39000,26000,45000,27800
2010,south atlantic division,402,"Martinsville, VA",62.666588,2.7469034,25.361061,3.9279692,5.2974758,13.328897,3.733459,11.380268,29.801935,32.344955,34.885925,47300,62000,50600,28000,32100,30400
2010,south atlantic division,500,"Greensboro, NC",59.104885,6.1245599,26.777205,4.805244,3.1881089,17.12368,8.361743,32.434811,29.930614,25.988531,29.221046,44300,60000,31000,20000,32000,35600
2010,south atlantic division,601,"North Wilkesboro, NC",63.847572,6.9986157,19.622869,2.6336393,6.8973012,20.747971,15.263409,36.73259,34.174332,36.601639,11.046955,40400,51900,24000,24000,36000,41700
2010,south atlantic division,602,"Galax, VA",61.202927,6.6284657,21.220789,4.152493,6.7953281,19.154617,10.537728,48.072891,32.094429,33.245579,19.535664,44000,58500,30000,20000,32500,33000
2010,south atlantic division,700,"Spartanburg, SC",59.939598,5.2228122,25.833883,3.3274841,5.6762209,15.303509,6.181602,28.009558,32.689224,7.2415204,25.537025,44400,61900,35800,18200,38000,33700
2010,south atlantic division,800,"Gastonia, NC",61.101223,7.2109871,20.77713,3.2710049,7.6396546,20.687765,9.0534725,30.778471,46.063908,25.386461,33.187374,43000,55700,33550,18900,28500,30740
2010,south atlantic division,900,"Charlotte, NC",64.152321,6.2166085,22.417681,4.0725179,3.1408727,14.875843,7.4808726,21.858194,32.693615,15.186646,24.52253,60000,76600,38500,25300,56000,38000
2010,south atlantic division,1001,"Boone, NC",67.373146,9.126256,16.032658,2.4335747,5.0343695,22.701345,16.383829,43.139057,32.080303,51.918949,26.204929,37100,43000,20000,20900,23000,35000
2010,south atlantic division,1002,"Morganton, NC",64.545486,8.9835691,17.742233,2.8118293,5.9168811,15.918829,7.9312601,22.083401,34.857559,24.584816,32.785645,44100,52000,31900,20000,30000,34400
2010,south atlantic division,1100,"Hickory, NC",63.368767,7.8152509,19.702984,4.337688,4.7753115,13.292624,6.8399692,21.69948,25.286058,5.414485,42.832382,48100,60000,33500,24800,29800,25000
2010,south atlantic division,1201,"Franklin, NC",67.850235,4.6459951,16.506157,5.2006798,5.7969327,13.212577,7.8003159,44.946186,22.529373,7.178093,30.012468,50000,59600,20600,26500,46000,46100
2010,south atlantic division,1202,"Sylva, NC",65.271118,5.5499272,16.315201,5.786953,7.0768013,12.212014,6.7965689,54.298252,15.061702,3.8619916,29.412523,50000,56000,14030,36780,46000,48000
2010,south atlantic division,1203,"Asheville, NC",66.560478,5.2593665,18.023207,3.5494902,6.6074586,18.02083,11.807394,37.143532,32.675663,18.089899,25.379742,46000,54400,25000,25000,46000,46100
2010,south atlantic division,1204,"Andrews, NC",68.606796,4.3808365,16.56217,5.0287032,5.4214973,13.506081,8.0804396,41.470764,24.687267,8.2975082,30.242188,50000,60000,29000,25800,46000,44500
2010,south atlantic division,1301,"Bennettsville, SC",46.256229,7.6075592,34.663467,4.8957782,6.5769663,23.463839,5.9714866,34.731915,44.307293,19.691284,26.409117,39200,57500,28600,21000,39000,35000
2010,south atlantic division,1302,"Florence, SC",47.759266,7.4838333,32.554359,4.1314545,8.071085,23.221149,8.1078672,39.965351,42.590408,21.958771,19.64666,37000,59000,26000,19700,36500,28000
2010,south atlantic division,1400,"Fayetteville, NC",52.819813,6.2984562,31.596861,3.4505577,5.8343148,18.792444,10.337674,26.880846,29.378864,17.159788,30.236965,41000,54000,24500,29720,43000,30000
2010,south atlantic division,1500,"Wilmington, NC",54.240482,6.9525175,30.540234,3.6263831,4.6403813,22.869093,9.9467945,23.633986,40.166111,38.096382,47.030655,46500,70000,31000,19000,31800,26400
2010,south atlantic division,1600,"Wilson, NC",48.310715,9.8131266,32.097713,4.7518406,5.0266075,20.671501,7.0657082,40.44511,32.26992,28.751644,31.133085,37900,58010,25000,22860,33300,36600
2010,south atlantic division,1701,"Raleigh, NC",66.514648,4.918014,21.190191,3.5854437,3.7917023,15.384777,7.0554519,15.928894,37.824005,17.242695,33.633369,59000,78000,40000,25200,46250,37600
2010,south atlantic division,1702,"Henderson, NC",56.814808,7.0491195,25.264076,5.6297584,5.2422357,21.590212,7.9876595,31.76383,42.480507,31.049532,44.497162,45000,58000,33600,22000,20500,28800
2010,south atlantic division,1800,"Goldsboro, NC",57.028111,6.1428027,29.972727,2.7871606,4.0692029,16.325335,4.5074849,12.808065,37.287598,6.4876633,39.592438,40300,56900,39100,15000,37100,43100
2010,south atlantic division,1900,"Jacksonville, NC",55.544674,5.9812622,31.291386,3.5386627,3.6440127,17.527563,5.5525994,14.759113,35.831215,21.032476,44.024479,41000,58800,31200,22000,40710,31200
2010,south atlantic division,2000,"Virginia Beach, VA",58.124077,3.7796638,29.106573,4.6515336,4.3381562,15.0601,5.2109861,10.07002,33.559326,15.181359,27.120129,60100,80050,51080,27700,43200,58900
