year,region,czone,czname,cz_shwhite,cz_shhispanic,cz_shblack,cz_shasian,cz_shother_race,cz_shpov_white,cz_shpov_hispanic,cz_shpov_black,cz_shpov_asian,cz_shpov_other_race,cz_hhinc_white,cz_hhinc_hispanic,cz_hhinc_black,cz_hhinc_asian,cz_hhinc_other_race,cz_shmarr_white,cz_shcoh_white,cz_shunpmom_white,cz_shmarr_hispanic,cz_shcoh_hispanic,cz_shunpmom_hispanic,cz_shmarr_black,cz_shcoh_black,cz_shunpmom_black,cz_shmarr_asian,cz_shcoh_asian,cz_shunpmom_asian,cz_shmarr_other_race,cz_shcoh_other_race,cz_shunpmom_other_race,cz_shpov_white_marr,cz_shpov_white_coh,cz_shpov_white_unpmom,cz_shpov_hispanic_marr,cz_shpov_hispanic_coh,cz_shpov_hispanic_unpmom,cz_shpov_black_marr,cz_shpov_black_coh,cz_shpov_black_unpmom,cz_shpov_asian_marr,cz_shpov_asian_coh,cz_shpov_asian_unpmom,cz_shpov_other_marr,cz_shpov_other_coh,cz_shpov_other_unpmom,cz_hhinc_white_marr,cz_hhinc_white_coh,cz_hhinc_white_unpmom,cz_hhinc_hispanic_marr,cz_hhinc_hispanic_coh,cz_hhinc_hispanic_unpmom,cz_hhinc_black_marr,cz_hhinc_black_coh,cz_hhinc_black_unpmom,cz_hhinc_asian_marr,cz_hhinc_asian_coh,cz_hhinc_asian_unpmom,cz_hhinc_other_marr,cz_hhinc_other_coh,cz_hhinc_other_unpmom
2010,east south central div,100,"Johnson City, TN",95.512894,.94539857,1.4628294,1.0005902,1.0782858,17.698423,8.3191137,31.831472,0,76.608261,43500,45250,21600,43000,12200,69.479622,6.215147,24.305231,64.482635,35.517361,0,41.286594,12.751484,45.961922,96.0839,3.4128671,.50322801,37.600338,2.3825915,60.017067,10.479435,33.278233,34.35088,0,23.422667,,9.6734877,0,60.5667,0,0,,72.744072,0,82.070389,52000,28000,24100,45250,49000,,70000,42600,7200,43000,30400,,4400,26800,12200
2010,east south central div,200,"Morristown, TN",87.070137,8.3204412,2.2851391,.64490873,1.6793722,15.776855,30.331539,9.9510603,0,0,47000,44200,40000,27000,81000,70.972298,9.0058651,20.021835,84.3862,7.9077058,7.7060928,47.308319,9.9510603,42.74062,100,0,0,100,0,0,8.7530918,5.894937,45.119213,29.413324,0,71.511627,0,100,0,0,,,0,,,56800,45000,16400,36400,62100,5000,78000,18130,40000,27000,,,81000,,
2010,east south central div,301,"Middlesborough, TN",95.752022,2.7154076,1.2218401,0,.31072828,18.839424,25.381893,18.667562,,0,42000,28000,24000,,36000,77.110413,4.5201378,18.36945,81.254051,13.208323,5.5376253,47.784935,0,52.215069,,,,,,,11.521748,34.690475,45.65678,31.237692,,,0,,35.751297,,,,,,,45900,30000,18700,28000,,,15700,,36000,,,,,,
2010,east south central div,302,"Knoxville, TN",85.503265,3.798861,8.3062935,1.3655882,1.0259926,13.638644,9.9910345,27.309122,5.3572001,14.201364,53000,35900,29100,59000,24000,75.54805,4.6204424,19.831509,74.304482,15.475704,10.219815,31.086981,8.990941,59.922073,82.817497,14.191402,2.9911034,43.67038,0,56.32962,10.866317,29.813055,20.431419,9.2993097,0,30.14957,4.3914046,0,43.296173,0,37.749619,0,18.912979,,10.548613,62000,31200,30000,38000,26680,11000,80000,36000,17100,59000,32000,57300,16000,,24000
2010,south atlantic division,401,"Winston-Salem, NC",60.281807,14.595674,20.97224,1.9837568,2.166523,10.653731,31.218184,21.503109,11.069831,28.792923,60600,30000,40000,64000,47000,76.651512,3.7333515,19.615135,71.308205,12.109307,16.582491,32.031826,9.9278288,58.040344,85.1026,12.697564,2.1998341,43.043262,4.564208,52.392532,5.6929302,62.380779,20.194206,22.004215,30.715096,71.207558,5.3362021,11.728009,32.097481,10.42271,0,100,0,0,54.956161,72800,13000,35000,32000,37600,4000,58800,51000,22000,80000,64000,11000,90000,46000,24200
2010,south atlantic division,402,"Martinsville, VA",73.564323,5.9731956,17.194172,1.3085032,1.959808,7.2669454,12.23601,28.221209,6.1948056,12.132815,60000,27000,28000,85000,49900,77.874962,3.1683755,18.956665,88.072083,2.3936236,9.5342989,27.689054,2.2333152,70.077629,57.281231,0,42.718769,49.804859,8.587676,41.607468,3.3999932,5.3294592,23.476412,11.968223,70.82766,0,0,30.960918,39.284649,0,,14.501368,0,0,29.160187,70000,51000,28000,27000,5600,28300,38000,50600,18900,92500,,85000,49900,44100,52700
2010,south atlantic division,500,"Greensboro, NC",60.030205,12.754279,22.704382,3.0150206,1.4961135,12.122328,23.732632,22.489126,12.242363,25.58741,60200,25000,24000,48500,35000,77.086998,5.0650573,17.847944,63.067715,11.92418,25.008106,29.429705,6.9272184,63.643082,83.680321,7.9608626,8.35882,51.915009,12.95013,35.134861,5.3587008,33.019455,35.404701,24.044727,43.703903,13.423012,9.188796,14.455931,29.513809,10.050039,34.592453,12.903751,12.263,44.941444,38.141884,70000,33600,27500,32100,20000,24000,56000,31000,17300,48500,67000,29000,35000,44100,41000
2010,south atlantic division,601,"North Wilkesboro, NC",88.142746,8.1196671,1.0944735,1.0656347,1.5774772,21.448109,11.706242,1.5476334,50.869495,38.769115,43000,40000,9000,18700,24200,74.557571,5.9501967,19.492229,35.689461,30.681732,33.628803,41.243561,0,58.756439,84.422745,0,15.57726,38.538597,0,61.461403,15.231509,49.853107,36.555622,13.326925,9.1108742,12.35417,0,,2.6339808,41.80418,,100,0,,63.078796,54200,18500,23600,29300,46800,40000,105200,,9000,20000,,10800,78000,,24200
2010,south atlantic division,602,"Galax, VA",94.582306,1.9983199,2.4183891,.41537043,.58561438,18.68157,4.3820009,19.710047,18.342083,27.082741,46900,40000,57300,30400,26800,70.001122,6.6581941,23.340683,35.969097,29.386208,34.644695,54.668213,14.65737,30.674419,62.277378,25.673216,12.049405,37.364422,16.655102,45.98048,10.547874,56.819641,32.196053,.0073966039,.0053209388,12.63621,13.799556,0,39.661961,29.443403,,,0,,58.900524,58500,25100,18700,30000,46800,40000,70000,39000,9000,20000,,,78000,,24200
2010,south atlantic division,700,"Spartanburg, SC",65.727676,8.0725088,22.601423,2.1578689,1.4405233,9.3754854,27.111111,28.058151,2.6809547,14.660868,55000,20000,34200,54000,35000,75.471336,5.1586876,19.369976,67.73291,16.830963,15.436128,38.230728,3.8298304,57.939442,64.091202,.12064943,35.788151,53.634869,8.3307972,38.034332,5.6456933,15.905334,22.16884,17.777092,49.57201,43.577774,3.4679923,45.305824,43.143627,0,,7.4911795,0,2.3327088,38.035465,66200,38000,27000,20000,17800,25000,61900,25000,12000,69200,,12100,35000,35000,18200
2010,south atlantic division,800,"Gastonia, NC",75.743408,8.9018221,13.839382,.96439821,.55098975,16.212608,22.127424,36.809818,0,21.212416,55000,28000,23500,36000,56800,74.43222,8.2066851,17.361094,75.723923,13.604778,10.671299,30.443338,4.4216747,65.134987,96.835068,2.1099548,1.0549775,56.396408,3.971029,39.632565,9.0386171,29.416403,40.728153,9.8973627,53.099411,69.426384,10.726543,0,51.499664,0,0,0,0,100,43.503078,58000,35400,30000,29070,17800,3000,38800,47000,16300,36000,32000,95000,73000,15000,30000
2010,south atlantic division,900,"Charlotte, NC",56.051563,13.944678,24.503439,2.6969497,2.8033674,7.8002887,25.448904,23.23785,24.550459,7.6657972,77200,37200,37000,79500,56000,81.296356,5.1553664,13.548282,68.044243,13.387845,18.567917,40.542618,6.5642505,52.893131,87.090607,4.8295517,8.0798407,65.469971,5.6007271,28.929306,4.4379282,10.461146,26.963598,18.178276,20.533585,55.63699,8.0286999,40.22493,32.787506,23.366188,52.685249,20.498463,4.4319372,8.2345123,14.874249,86000,54400,38000,45000,30500,19800,75000,32200,23000,79500,70000,78000,56000,26000,59300
2010,south atlantic division,1001,"Boone, NC",93.694962,3.5143807,.19883788,.93493193,1.6568862,19.952375,55.484097,26.025724,81.180809,17.338728,41000,7400,21600,10800,23800,73.96077,9.5092249,16.530006,67.577881,27.121145,5.3009734,73.974274,0,26.025724,45.756458,0,54.243542,33.99493,0,66.005066,14.7338,39.111187,32.280514,49.68021,80.790344,0,,,,58.870964,,100,51.00386,,0,47800,20600,20900,24000,6600,11900,,,,18700,,10800,4400,,23800
2010,south atlantic division,1002,"Morganton, NC",83.198059,6.3434339,7.3806524,2.0278697,1.0499847,13.202691,12.930218,31.170198,8.8384438,29.878769,49800,24000,16300,41600,23800,73.839996,9.8661823,16.293818,81.283051,7.2054601,11.511491,31.2493,7.252048,61.498653,77.952362,10.761313,11.286325,35.957527,22.348373,41.694103,7.6629834,21.256001,33.431019,11.30438,43.776215,5.1026869,11.887347,0,44.644047,3.7622418,0,52.326042,0,99.998161,18.062042,56500,30060,24000,24000,15600,24000,47400,43200,8000,41600,32000,10800,51500,15000,23800
2010,south atlantic division,1100,"Hickory, NC",74.947067,10.424026,9.0415754,3.9733541,1.6139781,9.3990755,24.092728,26.656866,.35006249,9.2278633,58000,26000,18450,45000,25000,75.989441,6.6515512,17.359013,59.038418,17.110508,23.85107,27.723551,7.628098,64.648346,93.477562,4.983541,1.538902,28.412203,53.138153,18.44964,4.8466182,20.655136,25.014505,26.100254,41.294056,6.7834496,16.249901,0,34.265091,0,0,22.747549,0,11.844684,15.901758,66000,32000,28800,29600,33500,23400,50000,55000,17000,45000,43500,95000,51500,18000,25000
2010,south atlantic division,1201,"Franklin, NC",86.580086,8.1914101,.7796852,1.9549291,2.4938898,11.230227,21.008587,25.907187,10.50048,25.127304,53000,31000,43000,91000,39600,76.005898,4.7599759,19.234123,76.119316,12.640879,11.239807,46.720604,.0057560927,53.273643,72.992096,.52619946,26.481701,98.017212,0,1.982783,7.2527127,40.104858,19.802076,8.7049055,66.101227,53.619225,0,,48.630402,.53962052,,36.177437,25.635603,,,62000,28500,27000,34000,5900,15000,55930,,20400,84000,,102000,39600,,
2010,south atlantic division,1202,"Sylva, NC",88.483826,5.9226923,0,1.8194411,3.7740474,10.249062,22.17392,,0,26.391142,53000,31000,,102000,36300,73.740128,5.8141751,20.4457,78.814079,19.50197,1.6839494,,,,69.945091,0,30.054909,100,0,0,6.1421013,44.822147,15.229757,1.955274,100,,,,,0,,0,26.391142,,,59000,20600,33900,31000,5900,,,,,71800,,102000,36300,,
2010,south atlantic division,1203,"Asheville, NC",79.993324,12.419256,3.5709779,1.7883371,2.2281039,13.718351,30.160219,55.390594,0,36.82098,51300,30000,8400,83000,39600,74.563324,5.8488622,19.587812,91.306694,5.6849623,3.0083425,2.6864619,0,97.313538,86.692253,0,13.307752,73.033432,11.160535,15.806036,8.7263393,38.452873,25.335381,27.292942,53.873478,72.373619,0,,56.919724,0,,0,28.77442,0,100,62000,25000,33900,30000,12000,9600,31000,,8400,83000,,20000,65000,43000,10100
2010,south atlantic division,1204,"Andrews, NC",86.036827,8.8388252,1.0021806,1.9935929,2.1285768,11.518182,20.785757,25.907187,13.235196,24.487846,54000,31000,43000,89800,39600,76.670868,4.4505877,18.878548,75.604027,11.32892,13.067049,46.720604,.0057560932,53.273643,73.78566,.66324151,25.551102,97.014,0,2.9860003,7.5661979,38.296257,21.255363,10.050349,54.942863,53.28558,0,,48.630398,.67284286,,47.26017,25.24156,,,62710,30100,26600,34000,5900,15000,55930,,20400,89800,,102000,39600,,
2010,south atlantic division,1301,"Bennettsville, SC",52.684097,2.8319211,42.895035,.38575029,1.2031946,15.533296,22.132122,33.440811,0,25.72909,50000,32400,28600,120000,74800,68.71312,9.1023779,22.184505,88.783836,7.2613797,3.954782,28.977779,8.2590466,62.763172,90.838623,2.0462954,7.1150832,64.749657,0,35.250343,4.6827106,32.241997,42.285683,14.595845,91.328941,,8.5229969,35.341896,44.695206,0,,,0,,72.989616,64520,32600,26700,46600,18000,,47000,21100,19000,120000,,,85000,,14200
2010,south atlantic division,1302,"Florence, SC",55.03381,4.0441728,38.684299,.6634869,1.5742311,15.057111,26.516422,35.919701,14.675598,17.511242,53000,46100,24000,44000,85000,69.008003,6.7439976,24.247999,58.897072,21.323118,19.779808,31.969542,9.6474133,58.383041,98.232681,1.767318,0,67.339622,8.6695385,23.990841,5.663662,29.778326,37.69582,3.0542617,100,17.161097,16.921902,38.629879,45.874722,14.939629,,,0,0,72.991364,64800,32500,29400,50000,11000,44800,42000,20000,15200,44000,,,86800,47800,14200
2010,south atlantic division,1400,"Fayetteville, NC",46.882965,11.153474,27.285852,2.507206,12.170504,11.807693,31.955545,24.252655,2.0755713,19.300465,52000,29200,36000,42000,32000,70.349884,6.5739689,23.076143,68.314293,4.171483,27.514219,39.496426,6.1490545,54.354519,88.872482,0,11.127518,37.955223,14.115741,47.929035,6.5674877,24.162977,24.263182,18.931238,16.994164,66.561562,18.179188,6.557353,30.667751,0,,18.652601,9.7743549,54.283054,16.541395,66340,21900,35000,35500,30000,14200,41000,43600,29000,39800,,42000,39000,12000,32000
2010,south atlantic division,1500,"Wilmington, NC",63.469421,9.384491,20.108889,1.3124367,5.7247629,11.159018,35.658176,45.204659,.66945136,26.49996,68500,27500,17400,66000,27400,71.516022,5.7397499,22.744223,50.920856,21.447393,27.63175,23.255108,7.2545967,69.490295,79.674385,0,20.325611,56.543983,8.1143446,35.341675,5.3734107,20.632038,26.96043,27.500423,11.265308,69.625023,26.219833,45.993759,51.475601,0,,3.2936347,27.867498,30.548529,23.38246,82100,42100,28860,38900,31000,3600,47000,49200,14700,66000,,41800,27400,94000,32000
2010,south atlantic division,1600,"Wilson, NC",43.944389,10.022846,43.618034,1.5235699,.89115834,11.357737,40.51276,23.093042,5.7814813,59.633915,58010,33700,27000,47000,26600,73.102882,7.5747862,19.322336,54.027592,14.50972,31.46269,33.138676,13.058678,53.802647,94.169304,0,5.8306942,37.915459,3.5429268,58.541615,5.0262671,30.092474,27.967375,12.134496,72.049706,74.699821,8.5455303,41.567734,27.56922,4.9224901,,19.654715,65.526756,0,59.426353,74000,31200,25500,34600,18000,26600,50310,25000,20900,47000,,28000,26600,79410,22860
2010,south atlantic division,1701,"Raleigh, NC",56.395573,14.921115,22.933472,4.3845758,1.3652676,8.1239357,28.32695,22.345633,7.0180135,25.503387,81000,30000,36260,108000,70000,83.253929,2.8554626,13.890605,66.416779,12.33922,21.243999,44.425816,6.9581327,48.616051,93.465202,.87992436,5.6548705,56.942123,5.4710407,37.58683,3.9209943,28.926859,29.038031,23.957399,14.880268,49.798092,5.7283659,5.3563676,39.962227,3.2731678,0,70.005859,18.23102,29.246798,35.975769,91000,54000,40000,30000,32000,27700,60000,40000,18900,110000,50000,11000,112000,46000,27940
2010,south atlantic division,1702,"Henderson, NC",57.227661,10.104844,31.095203,.50777441,1.0645188,17.047348,29.9135,20.814501,.29676351,36.924553,59800,34000,38000,72000,46000,74.142853,5.8991642,19.957983,68.435707,6.7091522,24.855139,42.790241,11.225511,45.984249,100,0,0,55.062973,34.239449,10.697581,6.5431066,59.809322,43.430508,14.531316,20.660494,74.764206,7.0009789,10.1127,36.281036,.29676351,,,64.414528,0,,66000,22000,30700,34000,37600,9700,45000,36000,21500,72000,,,7000,46000,
2010,south atlantic division,1800,"Goldsboro, NC",46.369137,22.772308,29.898441,.32177955,.63833511,6.7774191,20.405296,25.444368,0,32.330128,60100,29200,23800,51000,42400,78.965843,7.8222604,13.2119,70.017685,3.6710896,26.311228,26.538361,7.1303792,66.331261,100,0,0,64.108376,0,35.891621,1.2943112,8.5823345,38.480629,7.9302845,24.267782,53.064041,12.872484,15.503806,31.542809,0,,,0,,90.077087,66200,43400,22100,36000,17000,15000,54000,27000,14600,51000,,,90000,,10400
2010,south atlantic division,1900,"Jacksonville, NC",57.131546,8.8604088,29.136717,1.9427223,2.9286027,10.702337,28.650194,23.381933,37.472656,5.4639306,56300,29500,26000,30000,52200,71.631363,5.7005568,22.668083,59.709896,13.351925,26.938183,34.897472,5.7821698,59.320362,72.775375,0,27.224625,69.881691,10.9109,19.207407,3.9584975,6.1060414,33.168808,14.480354,61.061443,43.993736,2.5085886,1.7720621,37.767868,44.138191,,19.654715,2.8176541,0,18.195618,72000,37000,33000,34400,18000,19300,38600,26000,17500,30000,,28000,60400,79410,36000
