pumaname,puma12ID,puma2kID,puma12name,pumaID,year,region,countyfip,puma,puma_shmarried,puma_shcohabit,puma_shunpmom,puma_shunpdad,puma_shneither,puma_povrate,puma_shpov_mar,puma_shpov_coh,puma_shpov_unpmom,puma_shpov_unpdad,puma_shpov_neither,puma_hhinc,puma_hhinc_mar,puma_hhinc_coh,puma_hhinc_unpmom,puma_hhinc_unpdad,puma_hhinc_neither
"Lauderdale, Colbert, Franklin & Marion (Northeast) Counties",0100100,0100100,"Lauderdale, Colbert, Franklin & Marion (Northeast) Counties",0100100,2010,east south central div,0,100,53.262901,3.1077774,27.025568,7.2732763,9.3304777,22.706253,7.2176762,14.024936,49.893799,29.778103,29.753246,37080,58350,34000,15000,30000,22000
Limestone & Madison (Outer) Counties--Huntsville City (Far West & Southwest),0100200,0100200,Limestone & Madison (Outer) Counties--Huntsville City (Far West & Southwest),0100200,2010,east south central div,0,200,71.77256,4.6648445,17.536442,3.7085671,2.3175821,10.220311,4.9118323,52.496582,22.784681,2.1370704,7.3870802,80000,97350,22500,35000,44500,54000
Morgan & Lawrence Counties--Decatur City,0100600,0100600,Morgan & Lawrence Counties--Decatur City,0100300,2010,east south central div,0,600,67.56794,4.4251661,20.426371,3.3742919,4.206234,10.672942,3.7667074,3.7105751,30.975348,0,38.906963,56900,70000,37400,16600,52000,36001
Marshall & Madison (Southeast) Counties--Huntsville City (Far Southeast),0100500,0100300,Marshall & Madison (Southeast) Counties--Huntsville City (Far Southeast),0100401,2010,east south central div,0,300,70.275993,4.286149,18.619228,3.9368529,2.8817801,11.394333,4.8962131,47.368603,28.154629,5.0442977,16.740376,70000,89000,22500,31200,44500,45900
Limestone & Madison (Outer) Counties--Huntsville City (Far West & Southwest),0100200,0100300,Limestone & Madison (Outer) Counties--Huntsville City (Far West & Southwest),0100402,2010,east south central div,0,300,65.573486,5.7951465,21.294901,4.4488654,2.8876007,12.581817,4.3075767,34.371937,32.487053,16.579542,3.795449,70000,92000,25200,25000,44500,98800
Huntsville City (Central & South),0100302,0100300,Huntsville City (Central & South),0100403,2010,east south central div,0,300,54.961067,7.6812096,27.742313,5.7199316,3.8954773,16.669924,2.9682856,15.445864,43.117493,32.547138,.73491091,50300,88000,36500,14000,35000,98800
Huntsville City (Central & South),0100302,0100300,Huntsville City (Central & South),0100501,2010,east south central div,0,300,64.56205,2.8409908,22.75313,4.8083982,5.0354352,15.876114,4.8297763,15.220761,43.954147,13.606207,33.171062,44800,58000,26600,20000,48000,36300
DeKalb & Jackson Counties,0100400,0100400,DeKalb & Jackson Counties,0100600,2010,east south central div,0,400,66.202042,1.1275847,23.13028,2.9685395,6.5715508,27.617607,15.522893,8.1632652,54.150085,40.088593,53.77689,33900,47300,106000,27300,47000,28600
"Talladega, Cherokee, Randolph, Cleburne & Clay Counties",0101000,0101100,"Talladega, Cherokee, Randolph, Cleburne & Clay Counties",0100700,2010,east south central div,0,1100,59.940632,3.6422086,25.011427,3.6184111,7.787324,15.156542,5.6456542,20.228277,41.967571,3.1012976,5.4812136,40000,46800,35000,17000,49800,38200
Calhoun County,0101100,0101200,Calhoun County,0100800,2010,east south central div,15,1200,51.108967,3.3602848,35.08271,5.8600998,4.5879388,22.201616,11.095791,0,42.964371,6.2658229,23.767179,41900,65900,72000,16000,51300,27000
St. Clair & Blount Counties,0100800,0100800,St. Clair & Blount Counties,0100900,2010,east south central div,0,800,63.572639,6.5395541,17.718105,4.0218258,8.1478758,17.111153,10.309245,14.0625,39.907726,2.2357724,30.398794,45000,54000,45000,33700,42100,37600
"Walker, Marion (South & West), Fayette & Lamar Counties",0101400,0100800,"Walker, Marion (South & West), Fayette & Lamar Counties",0101000,2010,east south central div,0,800,62.729382,3.0279675,23.459215,4.8056827,5.9777508,17.81094,6.0440598,7.0428858,46.564713,14.948578,36.203976,41000,50000,27100,17600,44300,32900
Tuscaloosa (Outer) & Pickens Counties--Northport City (North & West),0101500,0100700,Tuscaloosa (Outer) & Pickens Counties--Northport City (North & West),0101100,2010,east south central div,0,700,44.1497,6.6143026,39.368458,2.0649869,7.8025551,27.833763,9.2816133,30.077351,46.073895,14.434089,42.420815,31300,57400,34000,15600,44300,16100
Tuscaloosa & Northport (Southeast) Cities,0101600,0101400,Tuscaloosa & Northport (Southeast) Cities,0101201,2010,east south central div,125,1400,62.540764,5.6090193,25.30953,2.5845156,3.9561696,20.720713,5.2509823,46.503963,49.701233,20.773655,43.280346,50000,75000,22200,17000,32000,40260
