pumaname,puma12ID,puma2kID,puma12name,pumaID,year,region,countyfip,puma,puma_str,puma_shcollege,puma_shnoncollege,puma_shpov_col,puma_shpov_noncol,puma_hhinc_col,puma_hhinc_noncol,puma_shmarr_noncol,puma_shcoh_noncol,puma_shunpmom_noncol,puma_shmarr_col,puma_shcoh_col,puma_shunpmom_col,puma_shpov_marr_col,puma_shpov_cohab_col,puma_shpov_unpmom_col,puma_shpov_marr_noncol,puma_shpov_cohab_noncol,puma_shpov_unpmom_noncol,puma_hhinc_marr_col,puma_hhinc_cohab_col,puma_hhinc_unpmom_col,puma_hhinc_marr_noncol,puma_hhinc_cohab_noncol,puma_hhinc_unpmom_noncol
"Lauderdale, Colbert, Franklin & Marion (Northeast) Counties",0100100,0100700,"Lauderdale, Colbert, Franklin & Marion (Northeast) Counties",0100100,2010,east south central div,0,700,00700,18.659882,81.340118,.9244864,25.975571,92000,35000,57.688923,4.5814042,37.729671,90.799202,0,9.2007971,1.0181658,,0,9.4561453,14.024936,52.685017,93000,,25000,52000,34000,14500
Limestone & Madison (Outer) Counties--Huntsville City (Far West & Southwest),0100200,0100300,Limestone & Madison (Outer) Counties--Huntsville City (Far West & Southwest),0100200,2010,east south central div,0,300,00300,37.352051,62.647949,2.8872347,15.239292,116400,55000,70.096428,7.6895995,22.213974,87.22113,0,12.778866,3.1668816,,.97852576,6.2063756,54.177635,30.263842,123000,,63600,70630,22500,25000
Morgan & Lawrence Counties--Decatur City,0100600,0100600,Morgan & Lawrence Counties--Decatur City,0100300,2010,east south central div,0,600,00600,18.308609,81.691391,6.2105775,10.577063,96000,56400,69.414238,5.2885313,25.29723,89.600517,2.5553937,7.844089,1.2635379,0,64.742264,4.4908619,4.1124058,28.628742,101500,91200,15000,60760,31400,16600
Marshall & Madison (Southeast) Counties--Huntsville City (Far Southeast),0100500,0100200,Marshall & Madison (Southeast) Counties--Huntsville City (Far Southeast),0100401,2010,east south central div,0,200,00200,33.568424,66.43158,2.7113326,15.95903,116200,48800,69.574196,6.7404566,23.68535,87.271645,0,12.728355,2.9195516,,1.2836846,6.1491055,48.721416,35.45142,118320,,63600,63000,22500,25000
Huntsville (North) & Madison (East) Cities,0100301,0100300,Huntsville (North) & Madison (East) Cities,0100402,2010,east south central div,0,300,00300,39.614147,60.385853,2.8021629,19.154001,113000,46000,60.297649,10.201282,29.501068,86.900093,0,13.099906,1.9447021,,8.4902515,6.5415373,34.930443,39.477402,116400,,52000,70630,25200,17000
Marshall & Madison (Southeast) Counties--Huntsville City (Far Southeast),0100500,0100300,Marshall & Madison (Southeast) Counties--Huntsville City (Far Southeast),0100403,2010,east south central div,0,300,00300,43.300636,56.699364,2.6619551,26.807594,92000,29800,41.256126,14.983983,43.759888,86.413811,0,13.586189,.049590897,,19.277679,7.6370239,15.450909,48.769989,92000,,47900,68000,36500,8600
Marshall & Madison (Southeast) Counties--Huntsville City (Far Southeast),0100500,0100300,Marshall & Madison (Southeast) Counties--Huntsville City (Far Southeast),0100501,2010,east south central div,0,300,00300,18.535351,81.464645,1.3028402,18.159035,92000,40000,67.976501,3.8407602,28.182734,87.675896,0,12.324104,.94875979,,3.8218324,5.9687099,15.332908,47.947136,100000,,40000,45000,26600,15000
DeKalb & Jackson Counties,0100400,0100400,DeKalb & Jackson Counties,0100600,2010,east south central div,0,400,00400,14.601882,85.398117,.57242411,29.537428,90600,32000,72.181793,1.2979275,26.520275,79.044304,.94574422,20.009956,.72418135,,0,18.293835,9.1803274,61.136074,90600,,43000,41000,106000,22000
Etowah County,0100900,0101000,Etowah County,0100700,2010,east south central div,55,1000,01000,16.41333,83.58667,4.1449823,18.925299,70000,35000,64.229027,4.3536701,31.417307,85.117165,2.8758523,12.006981,.97970271,100,3.6248474,6.8598413,9.8811512,44.845016,70000,150050,66000,42000,35000,16000
Calhoun County,0101100,0101100,Calhoun County,0100800,2010,east south central div,0,1100,01100,15.232966,84.767036,0,27.326918,83000,35400,56.173355,2.3159232,41.510727,62.071777,11.745514,26.182709,0,0,0,13.299121,0,47.834274,100000,83000,56400,62000,72000,13000
