pumaname,puma12ID,puma2kID,puma12name,pumaID,year,region,countyfip,puma,puma_str,puma_shwhite,puma_shhispanic,puma_shblack,puma_shasian,puma_shother_race,puma_shpov_white,puma_shpov_hispanic,puma_shpov_black,puma_shpov_asian,puma_shpov_other_race,puma_hhinc_white,puma_hhinc_hispanic,puma_hhinc_black,puma_hhinc_asian,puma_hhinc_other_race,puma_shmarr_white,puma_shcoh_white,puma_shunpmom_white,puma_shmarr_hispanic,puma_shcoh_hispanic,puma_shunpmom_hispanic,puma_shmarr_black,puma_shcoh_black,puma_shunpmom_black,puma_shmarr_asian,puma_shcoh_asian,puma_shunpmom_asian,puma_shmarr_other_race,puma_shcoh_other_race,puma_shunpmom_other_race,puma_shpov_white_marr,puma_shpov_white_coh,puma_shpov_white_unpmom,puma_shpov_hispanic_marr,puma_shpov_hispanic_coh,puma_shpov_hispanic_unpmom,puma_shpov_black_marr,puma_shpov_black_coh,puma_shpov_black_unpmom,puma_shpov_asian_marr,puma_shpov_asian_coh,puma_shpov_asian_unpmom,puma_shpov_other_marr,puma_shpov_other_coh,puma_shpov_other_unpmom,puma_hhinc_white_marr,puma_hhinc_white_coh,puma_hhinc_white_unpmom,puma_hhinc_hispanic_marr,puma_hhinc_hispanic_coh,puma_hhinc_hispanic_unpmom,puma_hhinc_black_marr,puma_hhinc_black_coh,puma_hhinc_black_unpmom,puma_hhinc_asian_marr,puma_hhinc_asian_coh,puma_hhinc_asian_unpmom,puma_hhinc_other_marr,puma_hhinc_other_coh,puma_hhinc_other_unpmom
"Lauderdale, Colbert, Franklin & Marion (Northeast) Counties",0100100,0100100,"Lauderdale, Colbert, Franklin & Marion (Northeast) Counties",0100100,2010,east south central div,0,100,00100,76.289917,2.2788606,20.197792,.20125942,1.0321734,15.022811,18.734308,46.035938,0,11.142061,52000,22200,16000,182000,30000,75.880768,2.9055889,21.213648,45.087749,45.877544,9.034708,18.402872,2.299078,79.29805,100,0,0,100,0,0,6.1771121,21.16527,45.822369,21.512718,0,100,18.773205,11.516315,53.363682,0,,,11.142061,,,60500,105000,18000,73000,22200,7220,45800,69600,14500,182000,,,30000,,
Limestone & Madison (Outer) Counties--Huntsville City (Far West & Southwest),0100200,0100200,Limestone & Madison (Outer) Counties--Huntsville City (Far West & Southwest),0100200,2010,east south central div,0,200,00200,75.481255,5.4881539,15.211082,1.9007573,1.9187537,9.5258865,24.212769,8.0467968,23.125803,23.081799,88000,39600,71900,69500,78300,77.880112,5.574163,16.545729,81.555229,7.7686386,10.676129,63.809944,1.2068408,34.983219,100,0,0,84.698578,0,15.301416,2.9634111,61.595131,22.873369,29.457771,0,1.7648299,0,,22.6569,23.125803,,,15.820272,,63.276833,105320,22500,35000,39600,94000,110000,103640,,49200,69500,,,78300,,0
Morgan & Lawrence Counties--Decatur City,0100600,0100600,Morgan & Lawrence Counties--Decatur City,0100300,2010,east south central div,0,600,00600,72.183235,9.5259247,11.743804,.98605317,5.5609846,8.5244293,2.1759403,25.012606,48.648651,0,70000,56900,15600,36000,60600,82.811668,2.3998032,14.78853,76.77961,21.759403,1.4609885,8.4720116,1.8154312,89.712555,48.648651,0,51.351349,81.735893,13.844516,4.4195952,2.9177194,10.256411,39.639389,2.834008,0,,32.440479,0,24.817314,100,,0,0,0,0,78000,37400,18900,56900,31300,,22000,22260,15000,5000,,36000,60600,91200,57050
Marshall & Madison (Southeast) Counties--Huntsville City (Far Southeast),0100500,0100200,Marshall & Madison (Southeast) Counties--Huntsville City (Far Southeast),0100401,2010,east south central div,0,200,00200,76.873955,6.4696221,13.198082,1.5991499,1.859193,10.777885,20.593689,8.4603262,22.786968,22.228321,79980,39600,71900,69500,78300,76.558823,4.9584088,18.482771,81.943413,6.2333951,11.823196,62.915432,1.6333594,35.45121,100,0,0,78.364487,2.539676,19.095837,3.2960222,56.669529,29.457613,22.258198,0,19.914772,0,9.999999,23.403969,22.786968,,,14.629107,,56.369858,95000,22500,27000,39600,94000,75700,100000,32300,49200,69500,,,78300,,11400
Huntsville (North) & Madison (East) Cities,0100301,0100300,Huntsville (North) & Madison (East) Cities,0100402,2010,east south central div,0,300,00300,71.026703,5.4645324,20.306797,1.8293788,1.3725929,10.359356,24.874535,16.677094,15.591054,20.936436,81500,39600,47900,72000,78300,77.326569,5.6600318,17.013399,83.908455,7.4719505,8.6195955,40.95575,8.5276356,50.516617,100,0,0,86.120789,0,13.879211,2.4353144,49.217072,33.44722,27.517471,0,20.70919,0,10,31.325001,15.591054,,,14.112864,,63.276833,95000,22500,25020,39600,94000,20900,91000,32300,22200,72000,,,78300,,0
Limestone & Madison (Outer) Counties--Huntsville City (Far West & Southwest),0100200,0100300,Limestone & Madison (Outer) Counties--Huntsville City (Far West & Southwest),0100403,2010,east south central div,0,300,00300,63.298679,5.4988871,29.114672,1.6804954,.40726885,12.223807,25.697889,24.669127,.47043279,2.8315704,73100,39600,25200,128000,26000,76.042313,5.7821679,18.17552,88.042618,6.815484,5.1418972,19.798794,15.309669,64.891533,100,0,0,95.686844,.89664686,3.4165044,1.3323267,23.686813,54.144604,23.777941,0,92.634438,0,10,35.65667,.47043279,,,1.1865534,,,87000,46000,8600,106300,36500,2100,91000,32300,14000,128000,,,26000,,
Huntsville City (Central & South),0100302,0100300,Huntsville City (Central & South),0100501,2010,east south central div,0,300,00300,82.406441,10.369337,5.2010989,.40073866,1.6223904,15.334678,12.982975,13.27467,16.391985,18.217117,45000,41000,61900,72000,18700,71.749916,2.7174163,25.53266,82.760063,3.0047874,14.235149,52.497089,6.597261,40.905651,100,0,0,48.599262,14.474268,36.926468,4.6098409,19.891361,44.987823,7.3378997,0,48.542698,0,10,30.839121,16.391985,,,4.8729677,,42.920139,60000,26600,19200,41000,24000,20900,100000,32300,24000,72000,,,18700,,58000
DeKalb & Jackson Counties,0100400,0100400,DeKalb & Jackson Counties,0100600,2010,east south central div,0,400,00400,80.837303,13.798742,2.4094195,0,2.9545372,23.255709,37.081905,53.544498,,3.4440346,39100,30000,870,,43000,73.858116,1.4161122,24.725769,92.099022,0,7.9009743,7.9939671,0,92.006035,,,,19.557196,3.4440346,76.998772,10.457119,0,62.81818,40.263084,,0,0,,58.196724,,,,0,,0,50000,106000,27300,30800,,16500,67200,,870,,,,552000,,43000
"Talladega, Cherokee, Randolph, Cleburne & Clay Counties",0101000,0101100,"Talladega, Cherokee, Randolph, Cleburne & Clay Counties",0100700,2010,east south central div,0,1100,01100,73.303978,4.7431774,21.374342,.40141338,.17709051,14.507521,0,26.657585,0,94.237289,46800,42000,20400,66000,15500,76.740051,4.2597928,19.000158,98.898911,0,1.1010909,30.249712,3.075351,66.674934,17.497149,82.502853,0,100,0,0,6.119998,26.631897,45.66576,0,,,3.2495811,0,38.507114,,0,,94.237289,,,60500,35000,20600,42000,,,25100,36500,17000,,66000,,15500,,
Calhoun County,0101100,0101200,Calhoun County,0100800,2010,east south central div,15,1200,01200,68.502792,4.9699731,25.765169,0,.76206255,8.0169287,49.583332,59.025879,,0,57400,21600,8500,,136800,71.904472,2.5997581,25.495768,91.166672,3.6666665,5.1666665,11.091465,6.9442215,81.964317,,,,55.978264,0,44.02174,7.3993101,0,10.57624,54.387569,,0,7.826087,0,70.955093,,,,0,,0,68000,72000,25000,13500,,25400,80120,83000,8500,,,,136800,,51100
