pumaname,puma12ID,puma2kID,puma12name,pumaID,year,region,countyfip,puma,puma_str,puma_shcollege_white,puma_shcollege_hispanic,puma_shcollege_black,puma_shcollege_asian,puma_shcollege_other,puma_shnoncollege_white,puma_shnoncollege_hispanic,puma_shnoncollege_black,puma_shnoncollege_asian,puma_shnoncollege_other,puma_shmarr_white_noncol,puma_shcoh_white_noncol,puma_shunpmom_white_noncol,puma_shmarr_hispanic_noncol,puma_shcoh_hispanic_noncol,puma_shunpmom_hispanic_noncol,puma_shmarr_black_noncol,puma_shcoh_black_noncol,puma_shunpmom_black_noncol,puma_shmarr_asian_noncol,puma_shcoh_asian_noncol,puma_shunpmom_asian_noncol,puma_shmarr_other_noncol,puma_shcoh_other_noncol,puma_shunpmom_other_noncol,puma_shmarr_white_col,puma_shcoh_white_col,puma_shunpmom_white_col,puma_shmarr_hispanic_col,puma_shcoh_hispanic_col,puma_shunpmom_hispanic_col,puma_shmarr_black_col,puma_shcoh_black_col,puma_shunpmom_black_col,puma_shmarr_asian_col,puma_shcoh_asian_col,puma_shunpmom_asian_col,puma_shmarr_other_col,puma_shcoh_other_col,puma_shunpmom_other_col,puma_shpov_white_noncol,puma_shpov_hispanic_noncol,puma_shpov_black_noncol,puma_shpov_asian_noncol,puma_shpov_other_noncol,puma_shpov_white_col,puma_shpov_hispanic_col,puma_shpov_black_col,puma_shpov_asian_col,puma_shpov_other_col,puma_hhinc_white_noncol,puma_hhinc_hispanic_noncol,puma_hhinc_black_noncol,puma_hhinc_asian_noncol,puma_hhinc_other_noncol,puma_hhinc_white_col,puma_hhinc_hispanic_col,puma_hhinc_black_col,puma_hhinc_asian_col,puma_hhinc_other_col,puma_shpov_white_noncol_marr,puma_shpov_white_noncol_coh,puma_shpov_white_noncol_unpmom,puma_shpov_hisp_noncol_marr,puma_shpov_hisp_noncol_coh,puma_shpov_hisp_noncol_unpmom,puma_shpov_black_noncol_marr,puma_shpov_black_noncol_coh,puma_shpov_black_noncol_unpmom,puma_shpov_asian_noncol_marr,puma_shpov_asian_noncol_coh,puma_shpov_asian_noncol_unpmom,puma_shpov_other_noncol_marr,puma_shpov_other_noncol_coh,puma_shpov_other_noncol_unpmom,puma_shpov_white_col_marr,puma_shpov_white_col_coh,puma_shpov_white_col_unpmom,puma_shpov_hisp_col_marr,puma_shpov_hisp_col_coh,puma_shpov_hisp_col_unpmom,puma_shpov_black_col_marr,puma_shpov_black_col_coh,puma_shpov_black_col_unpmom,puma_shpov_asian_col_marr,puma_shpov_asian_col_coh,puma_shpov_asian_col_unpmom,puma_shpov_other_col_marr,puma_shpov_other_col_coh,puma_shpov_other_col_unpmom,puma_hhinc_white_noncol_marr,puma_hhinc_white_noncol_coh,puma_hhinc_white_noncol_unpmom,puma_hhinc_hisp_noncol_marr,puma_hhinc_hisp_noncol_coh,puma_hhinc_hisp_noncol_unpmom,puma_hhinc_black_noncol_marr,puma_hhinc_black_noncol_coh,puma_hhinc_black_noncol_unpmom,puma_hhinc_asian_noncol_marr,puma_hhinc_asian_noncol_coh,puma_hhinc_asian_noncol_unpmom,puma_hhinc_other_noncol_marr,puma_hhinc_other_noncol_coh,puma_hhinc_other_noncol_unpmom,puma_hhinc_white_col_marr,puma_hhinc_white_col_coh,puma_hhinc_white_col_unpmom,puma_hhinc_hisp_col_marr,puma_hhinc_hisp_col_coh,puma_hhinc_hisp_col_unpmom,puma_hhinc_black_col_marr,puma_hhinc_black_col_coh,puma_hhinc_black_col_unpmom,puma_hhinc_asian_col_marr,puma_hhinc_asian_col_coh,puma_hhinc_asian_col_unpmom,puma_hhinc_other_col_marr,puma_hhinc_other_col_coh,puma_hhinc_other_col_unpmom
"Lauderdale, Colbert, Franklin & Marion (Northeast) Counties",0100100,0100100,"Lauderdale, Colbert, Franklin & Marion (Northeast) Counties",0100100,2010,east south central div,0,100,00100,21.26886,0,10.883005,100,3.3426185,78.73114,100,89.116997,0,96.657379,75.244301,4.2345276,20.521173,40,40,20,21.839081,8.0459776,70.114937,,,,100,0,0,96.202538,0,3.7974682,,,,37.5,0,62.5,100,0,0,,,,18.793949,18.734308,51.657867,,11.527377,1.0631588,,0,0,,46900,22200,15000,,30000,93060,,56300,182000,,8.0850792,21.16527,47.076797,21.512718,0,100,24.881592,11.516315,58.020939,,,,11.527377,,,1.092186,,0,,,,0,,0,0,,,,,,54000,105000,18000,73000,22200,7220,40200,69600,14500,,,,30000,,,93060,,25000,,,,65000,,24400,182000,,,,,
Limestone & Madison (Outer) Counties--Huntsville City (Far West & Southwest),0100200,0100300,Limestone & Madison (Outer) Counties--Huntsville City (Far West & Southwest),0100200,2010,east south central div,0,300,00300,37.336273,10.487714,42.108814,48.948696,65.614548,62.663727,89.512283,57.891186,51.051304,34.385452,71.906349,6.6889629,21.404682,89.189186,8.1081076,2.7027028,34.444447,8.8888893,56.666668,100,0,0,66.666672,0,33.333336,92.775665,0,7.2243347,0,0,100,58.333332,0,41.666664,100,0,0,100,0,0,14.362764,27.04966,13.523832,0,35.448902,1.4078621,0,.51696926,47.244984,16.60079,58000,39600,55000,69500,18700,116400,110000,144100,118000,78300,4.1426468,61.595131,27.629295,29.457771,0,,0,,35.288601,0,,,13.1367,,63.276833,1.4746929,,.61818886,,,0,0,,1.6567862,47.244984,,,16.60079,,,81000,22500,25000,39600,94000,,65170,,25000,69500,,,86000,,0,119100,,52000,,,110000,161000,,71900,118000,,,78300,,
Morgan & Lawrence Counties--Decatur City,0100600,0100600,Morgan & Lawrence Counties--Decatur City,0100300,2010,east south central div,0,600,00600,20.584978,2.1759403,1.3615733,51.351349,46.325878,79.415024,97.824059,98.638428,48.648651,53.674122,72.903229,3.8709679,23.225807,70,25,5,16.32653,2.0408163,81.632652,100,0,0,55.555557,11.111112,33.333336,96.491226,0,3.5087719,100,0,0,0,0,100,0,0,100,66.666672,33.333336,0,9.3909807,0,23.977505,100,0,5.1813474,100,100,0,0,62400,56900,15600,5000,60600,101500,21000,20000,36000,87500,3.8174863,10.256411,34.947685,0,0,,32.440479,0,23.658676,100,,,0,0,0,0,,100,100,,,,,100,,,0,0,0,,69500,37400,19600,56900,31300,,22000,22260,15000,5000,,,60600,31400,57050,108000,,15000,21000,,,,,20000,,,36000,87500,91200,
Marshall & Madison (Southeast) Counties--Huntsville City (Far Southeast),0100500,0100300,Marshall & Madison (Southeast) Counties--Huntsville City (Far Southeast),0100401,2010,east south central div,0,300,00300,33.405365,7.3753128,42.224564,49.69669,56.136738,66.594635,92.624687,57.775436,50.30331,43.863262,71.360382,5.8472557,22.792362,87.931038,6.8965516,5.1724138,34.444447,8.8888893,56.666668,100,0,0,58.333332,4.166667,37.5,92.201042,0,7.7989602,0,0,100,59.459461,0,40.540539,100,0,0,100,0,0,15.532659,22.233477,14.133517,0,29.430502,1.2990959,0,.69775736,45.852085,16.60079,49500,39600,52000,69500,18700,116200,110000,144100,118000,78300,4.5982075,56.669529,34.448807,22.258198,0,52.936691,0,9.999999,35.343285,0,,,9.6495705,,56.369858,1.3473766,,.75836349,,,0,0,,2.3000712,45.852085,,,16.60079,,,67800,22500,25000,39600,94000,15000,65170,32300,24000,69500,,,79000,,11400,116400,,40000,,,110000,161000,,71900,118000,,,78300,,
Huntsville (North) & Madison (East) Cities,0100301,0100300,Huntsville (North) & Madison (East) Cities,0100402,2010,east south central div,0,300,00300,43.510658,6.8345466,31.121767,65.582016,59.515934,56.489342,93.165451,68.878235,34.417984,40.484066,71.906349,6.6889629,21.404682,89.189186,8.1081076,2.7027028,34.444447,8.8888893,56.666668,100,0,0,66.666672,0,33.333336,92.775665,0,7.2243347,0,0,100,58.333332,0,41.666664,100,0,0,100,0,0,17.399334,26.69931,21.979193,0,27.310303,1.2194401,0,4.9425626,23.773367,16.60079,52000,39600,31200,69500,26000,111600,110000,144100,128000,78300,4.0815139,49.217072,41.530563,27.517471,0,100,0,10,35.801651,0,,,8.5472946,,63.276833,.88029432,,4.8194032,,,0,0,,14.493529,23.773367,,,16.60079,,,79980,22500,18300,39600,94000,2100,72000,32300,14000,69500,,,79000,,0,114000,,42000,,,110000,150000,,71900,128000,,,78300,,
Limestone & Madison (Outer) Counties--Huntsville City (Far West & Southwest),0100200,0100300,Limestone & Madison (Outer) Counties--Huntsville City (Far West & Southwest),0100403,2010,east south central div,0,300,00300,56.082237,.18825379,20.969795,98.961494,5.5596776,43.917763,99.811745,79.030205,1.0385056,94.440323,71.503952,6.0686016,22.427441,88.235298,7.1895428,4.5751634,34.444447,8.8888893,56.666668,,,,60.606064,3.030303,36.363636,92.380951,0,7.6190481,,,,59.090908,0,40.909092,100,0,0,,,,26.621279,25.746357,27.720505,,2.0209801,.94920599,,13.169199,.47536948,,42000,39600,25000,,26000,88000,,98800,128000,,3.9403543,23.686813,73.381676,23.777941,0,96.154831,0,10,35.985107,,,,.23569486,,,.021512782,,9.5236139,,,,0,,33.406845,.47536948,,,,,,68000,46000,8600,106300,36500,2100,72000,32300,14000,,,,26000,,,91200,,41000,,,,150000,,47900,128000,,,,,
Huntsville City (Central & South),0100302,0100300,Huntsville City (Central & South),0100501,2010,east south central div,0,300,00300,19.10041,.82951719,43.558056,63.813919,11.59667,80.89959,99.170486,56.441944,36.186081,88.403328,71.360382,5.8472557,22.792362,87.931038,6.8965516,5.1724138,34.444447,8.8888893,56.666668,,,,58.333332,4.166667,37.5,92.201042,0,7.7989602,,,,59.459461,0,40.540539,100,0,0,,,,18.831192,13.091572,21.410774,0,18.429146,.52522343,,2.7320144,25.68716,16.60079,40000,41000,32300,69500,18700,91200,,100000,128000,78300,5.9142003,19.891361,48.89064,7.3378997,0,51.546432,0,10,35.778648,0,,,1.1974498,,42.920139,.40876237,,1.4673835,,,,0,,13.261573,25.68716,,,16.60079,,,45000,26600,13900,41000,24000,15000,72000,32300,14000,69500,,,18700,,58000,92000,,40000,,,,100000,,71900,128000,,,78300,,
DeKalb & Jackson Counties,0100400,0100400,DeKalb & Jackson Counties,0100600,2010,east south central div,0,400,00400,15.249056,0,0,,76.998772,84.750946,100,100,,23.001228,72.398193,1.3574661,26.244345,92.307693,0,7.6923079,12.5,0,87.5,,,,50,50,0,88.461533,1.923077,9.6153851,,,,,,,,,,0,0,100,27.318058,37.081905,53.544498,,14.973262,.67806602,,,,0,32400,30000,870,,552000,90600,,,,43000,12.789557,0,64.919205,40.263084,,0,0,,58.196724,,,,0,,,.72418135,,0,,,,,,,,,,,,0,43040,106000,27300,30800,,16500,67200,,870,,,,552000,,,90600,,31000,,,,,,,,,,,,43000
"Talladega, Cherokee, Randolph, Cleburne & Clay Counties",0101000,0101100,"Talladega, Cherokee, Randolph, Cleburne & Clay Counties",0100700,2010,east south central div,0,1100,01100,20.815813,0,5.4013786,0,0,79.184189,100,94.598618,100,100,72.549019,6.5359483,20.915033,90.909096,0,9.090909,31.460676,5.6179776,62.921352,66.666672,33.333336,0,,,,92.40506,1.2658228,6.329114,,,,41.666664,0,58.333332,,,,,,,17.508034,0,27.149466,0,94.237289,3.0934446,,18.04286,,,36000,42000,20400,66000,15500,70000,,38700,,,8.0254107,13.56626,50.894684,0,,,1.251716,0,39.502068,,0,,94.237289,,,0,100,0,,,,22.265625,,13.234009,,,,,,,43300,18800,15000,42000,,,25100,36500,16000,,66000,,15500,,,70000,150050,69800,,,,38700,,49000,,,,,,
Calhoun County,0101100,0101100,Calhoun County,0100800,2010,east south central div,0,1100,01100,14.347037,5.1666665,19.980711,,0,85.652962,94.833336,80.019287,,100,70.065788,5.2631578,24.671053,81.818184,9.090909,9.090909,26.595745,5.319149,68.085106,,,,66.666672,0,33.333336,89.655174,0,10.344828,0,0,100,30.769232,23.076923,46.153847,,,,,,,9.3597803,52.28471,73.764565,,0,0,0,0,,,50000,13500,8500,,136800,100000,25400,65000,,,8.9449081,0,11.43883,54.387569,,,11.688312,,80.115143,,,,0,,0,0,,0,,,0,0,0,0,,,,,,,65900,72000,25000,13500,,,80120,,8500,,,,136800,,51100,103000,,89300,,,25400,71000,83000,56400,,,,,,
