year,region,state_name,statefip,state_shmarried,state_shcohabit,state_shunpmom,state_shunpdad,state_shneither,state_povrate,state_shpov_mar,state_shpov_coh,state_shpov_unpmom,state_shpov_unpdad,state_shpov_neither,state_hhinc,state_hhinc_mar,state_hhinc_coh,state_hhinc_unpmom,state_hhinc_unpdad,state_hhinc_neither
2010,east south central div,Alabama,alabama,56.569927,5.1074891,28.613392,4.160501,5.5486875,19.081303,7.5874991,23.25248,38.23307,23.550371,30.310741,46000,69000,37400,20000,37300,31200
2010,pacific division,Alaska,alaska,64.686531,8.2902021,17.898251,5.6619515,3.463063,10.797828,3.4469445,17.671944,26.708626,19.183483,35.706612,70700,83100,56400,34500,57200,44000
2010,mountain division,Arizona,arizona,60.476463,8.6016464,21.629337,5.1031971,4.1893563,20.731281,12.402334,30.881765,36.764919,23.512846,33.955875,50000,61000,37600,29500,46500,39400
2010,west south central div,Arkansas,arkansas,57.49789,6.0688806,25.784393,4.6678143,5.9810219,18.630371,6.6263785,29.594833,37.091015,22.847271,40.028385,43000,60300,30400,21180,32000,31480
2010,pacific division,California,california,64.683083,7.409688,19.906933,4.4421101,3.5581906,26.923674,19.381372,39.148865,43.561684,30.782637,40.672417,59000,74300,39000,34400,52900,46100
2010,mountain division,Colorado,colorado,68.472443,5.6669021,17.796072,5.1880674,2.8765144,14.20885,7.5453043,21.064449,34.06493,19.086323,27.681532,63100,79000,45000,28000,46100,47100
2010,new england division,Connecticut,connecticut,67.05555,4.5152111,21.86676,4.0359483,2.5265293,12.576154,6.548708,23.000599,25.990194,19.980482,25.993765,81400,103000,42000,35800,56000,38800
2010,south atlantic division,Delaware,delaware,57.414009,6.5387344,27.119783,4.9580865,3.9693899,15.892651,7.3104353,24.1215,32.136063,19.833088,10.571499,63300,88000,40000,31100,43600,31420
2010,south atlantic division,District Of Columbia,district of columbia,36.704742,6.6784739,43.789177,5.8585896,6.9690151,22.267218,6.622571,16.865316,36.219864,19.072691,24.857225,47310,140000,43100,27000,44100,51900
2010,south atlantic division,Florida,florida,58.31036,7.452692,26.146435,4.0538454,4.036665,23.044727,13.131337,29.171673,40.893997,25.027842,37.328121,50000,68000,40000,26000,40000,36950
2010,south atlantic division,Georgia,georgia,59.831089,5.4403658,26.580997,3.7947021,4.3528471,18.60692,9.8507881,26.66317,33.840317,22.536137,32.444035,50000,68000,36000,24200,40300,32400
2010,pacific division,Hawaii,hawaii,66.067299,5.0015268,17.692093,5.7604713,5.4786062,16.566294,10.803015,13.541322,31.319199,23.26667,34.141315,80000,89500,51100,52400,87000,64104
2010,mountain division,Idaho,idaho,72.690735,5.0539389,16.256487,3.6155641,2.3832722,10.775428,6.4155393,21.202034,26.621632,11.06372,13.117647,52150,60020,32400,28600,46000,52000
2010,east north central div,Illinois,illinois,64.784798,6.4165568,22.139757,3.6915307,2.9673576,16.273462,8.8048668,19.511404,34.463512,20.798374,30.98284,61500,80000,42301,28600,50000,43400
2010,east north central div,Indiana,indiana,61.639317,8.1590128,22.708984,4.1628752,3.3298128,14.731833,6.7628303,22.124945,31.425732,18.133642,26.029917,52000,69000,36000,25000,45000,40000
2010,west north central div,Iowa,iowa,69.489632,7.1662993,17.22888,3.6658905,2.4492993,10.404243,4.9029446,17.251877,27.222801,14.038812,22.702518,61500,75000,38400,26500,40000,56000
