year,region,state_name,statefip,statefip_str,state_shwhite,state_shhispanic,state_shblack,state_shasian,state_shother_race,state_shpov_white,state_shpov_hispanic,state_shpov_black,state_shpov_asian,state_shpov_other_race,state_hhinc_white,state_hhinc_hispanic,state_hhinc_black,state_hhinc_asian,state_hhinc_other_race,state_shmarr_white,state_shcoh_white,state_shunpmom_white,state_shmarr_hispanic,state_shcoh_hispanic,state_shunpmom_hispanic,state_shmarr_black,state_shcoh_black,state_shunpmom_black,state_shmarr_asian,state_shcoh_asian,state_shunpmom_asian,state_shmarr_other_race,state_shcoh_other_race,state_shunpmom_other_race,state_shpov_white_marr,state_shpov_white_coh,state_shpov_white_unpmom,state_shpov_hispanic_marr,state_shpov_hispanic_coh,state_shpov_hispanic_unpmom,state_shpov_black_marr,state_shpov_black_coh,state_shpov_black_unpmom,state_shpov_asian_marr,state_shpov_asian_coh,state_shpov_asian_unpmom,state_shpov_other_marr,state_shpov_other_coh,state_shpov_other_unpmom,state_hhinc_white_marr,state_hhinc_white_coh,state_hhinc_white_unpmom,state_hhinc_hispanic_marr,state_hhinc_hispanic_coh,state_hhinc_hispanic_unpmom,state_hhinc_black_marr,state_hhinc_black_coh,state_hhinc_black_unpmom,state_hhinc_asian_marr,state_hhinc_asian_coh,state_hhinc_asian_unpmom,state_hhinc_other_marr,state_hhinc_other_coh,state_hhinc_other_unpmom
2010,east south central div,Alabama,alabama,01,62.132042,5.1410499,30.236917,1.3854733,1.1045179,12.439034,23.621031,29.372375,9.9114666,16.99905,60400,34330,26500,60000,60000,75.829323,4.3249612,19.845716,72.337952,14.230797,13.431252,32.9277,6.7690587,60.303242,79.450241,6.3619504,14.18781,70.225594,6.1961813,23.578232,5.6767421,23.910955,35.77729,18.983543,30.653793,41.146175,11.383713,20.989727,40.135777,9.9693556,0,14.031692,13.098569,4.0016179,32.031898,73500,42000,27000,39600,25000,24000,55620,34500,17160,70000,58000,60000,78300,32400,33900
2010,pacific division,Alaska,alaska,02,61.526794,5.6030402,3.64586,6.8748159,22.349491,6.2563486,2.8805227,0,9.8067741,20.766632,80100,56700,70000,64000,56900,78.901466,6.2326102,14.865921,73.283363,3.5589066,23.15773,67.424538,0,32.575466,76.006447,4.8394246,19.154129,48.532314,21.27927,30.188412,1.9946616,14.927961,25.239805,0,80.938416,0,0,,0,3.7378418,0,36.366959,11.892603,18.467802,36.653343,89600,45600,32000,76000,18200,27300,70000,,24900,69830,90100,27100,72100,56900,38560
2010,mountain division,Arizona,arizona,04,46.714645,40.041683,3.7527156,3.1555533,6.335403,11.723583,28.766472,24.023352,12.083838,26.553843,68000,36100,45000,75000,37000,73.969536,6.8636312,19.16683,62.35923,11.414668,26.226097,41.045277,16.203264,42.751461,88.735191,5.8223705,5.4424381,44.89304,13.654622,41.452335,6.5030231,20.4797,28.735456,20.814367,38.388683,43.486645,7.5136275,37.481777,34.773293,11.11073,2.6550281,38.036716,14.100274,31.600887,38.378586,78800,48600,35200,42600,29800,25600,79000,34000,27000,83450,65900,52000,52100,41000,28000
2010,west south central div,Arkansas,arkansas,05,70.268394,8.1377192,18.470066,1.7475234,1.3762978,14.743885,19.235989,25.051588,13.089665,16.562672,52100,36000,28000,70000,29000,72.430489,5.8105221,21.758989,72.124718,3.2125108,24.662771,29.340929,11.066669,59.592403,77.024902,8.0876541,14.887444,68.304131,6.4311929,25.264675,6.1446252,29.76568,39.357353,11.916496,52.367531,36.325752,4.5373578,27.473629,34.70219,6.611578,70.817238,15.245401,11.744091,0,33.805988,63700,32000,22000,39400,19200,19000,54000,24000,18600,77240,23000,14000,33000,27000,22500
2010,pacific division,California,california,06,30.740053,48.835789,5.1810102,12.894244,2.3489041,11.89449,37.185841,32.48484,17.266733,20.518866,91000,43700,41000,90000,69800,78.077026,5.1621428,16.760836,64.935509,11.273268,23.79122,38.358353,6.6477871,54.993862,85.93515,2.7113829,11.353464,66.80854,8.2607527,24.930708,7.8948126,19.007866,28.335358,30.634699,46.508141,50.649158,14.525528,34.087475,44.81778,14.015576,24.219885,40.214436,11.208114,39.533405,39.16909,103000,54500,44204,50000,34600,32000,79500,44600,25530,98800,60500,44800,85000,35500,39800
2010,mountain division,Colorado,colorado,08,63.921349,26.547205,3.7576756,3.3503864,2.4233813,8.6231594,22.892544,31.516403,12.859676,13.237193,80000,39000,40000,76000,43000,80.509735,5.1446366,14.345628,63.370251,9.1445169,27.485231,51.216709,3.1901524,45.593136,81.113037,2.8653331,16.021627,67.076233,5.6941133,27.229649,4.2334099,16.012911,30.60895,15.912339,28.653019,37.069633,17.302067,50.073986,46.185501,7.9464884,0,40.033627,13.572614,12.676989,12.528081,90000,45000,36200,48000,42400,23500,66000,15200,20000,81000,90000,48600,70000,22500,31300
2010,new england division,Connecticut,connecticut,09,66.240135,16.636089,10.272191,4.985014,1.8665705,6.055007,26.001049,24.350565,12.080063,24.042439,101000,39600,41000,85500,56804,81.316292,3.5016439,15.182064,50.144302,10.817274,39.038422,40.786774,4.6294761,54.583752,87.869766,0,12.13023,56.261711,7.6324992,36.105789,3.2515454,17.465874,18.438717,18.999258,29.97356,33.893997,16.939116,20.083139,30.250582,12.600231,,8.3120356,10.33792,35.740784,42.924507,114500,46000,53820,60000,32000,23000,67000,75000,26300,98100,,70000,83350,70200,26200
2010,south atlantic division,Delaware,delaware,10,56.859367,11.213874,27.08289,3.8141649,1.0297053,8.7411728,25.389523,28.425688,8.6902323,8.8407297,81200,40000,35800,105000,125000,75.749329,5.6099801,18.640692,57.396812,10.428615,32.174572,34.482563,10.051977,55.465462,95.030312,0,4.9696865,59.907047,0,40.092953,4.572619,5.2542028,26.730146,23.769104,10.210486,33.200134,7.4423714,53.185661,36.983662,9.1446943,,0,14.757413,,0,91000,53500,46700,44000,44800,24000,88000,21200,26200,105000,,76000,80020,,141200
2010,south atlantic division,District Of Columbia,district of columbia,11,20.111752,11.699575,64.89785,2.0910463,1.1997806,1.812397,14.425238,30.963448,7.2677598,0,201800,46000,33600,170000,77650,92.250443,2.2953243,5.4542356,57.085651,13.946674,28.967672,21.855412,8.3034019,69.841187,100,0,0,53.714287,6.666667,39.619045,1.9646486,0,0,15.141146,35.9944,2.6298044,8.9100142,13.104325,39.9879,7.2677598,,,0,0,0,205600,84000,165000,53000,43100,53000,93200,47000,24000,170000,,,150000,183600,53900
2010,south atlantic division,Florida,florida,12,48.357132,27.341656,19.698555,2.9152176,1.6874425,13.927357,29.100391,34.939907,14.691923,19.557806,65000,40800,31500,70170,65000,72.693329,7.4982567,19.808413,63.553745,9.9107552,26.5355,37.291355,7.4404516,55.268192,86.302208,2.8013761,10.896415,64.97229,9.3441534,25.683556,8.0882359,25.387159,31.017899,21.011097,35.420464,46.11414,19.224745,30.227646,46.177856,12.142958,2.6755776,37.969654,10.50773,23.10771,41.160477,78000,47800,36000,52000,34000,25000,54000,35000,21300,78000,50000,32000,75000,54000,35000
