year,region,czone,czname,cz_shmarried,cz_shcohabit,cz_shunpmom,cz_shunpdad,cz_shneither,cz_povrate,cz_shpov_mar,cz_shpov_coh,cz_shpov_unpmom,cz_shpov_unpdad,cz_shpov_neither,cz_hhinc,cz_hhinc_mar,cz_hhinc_coh,cz_hhinc_unpmom,cz_hhinc_unpdad,cz_hhinc_neither
2023,east south central div,100,"Johnson City, TN",61.939075,7.3698001,19.554537,4.5856533,6.5509334,18.604324,11.010754,21.355238,36.226696,31.151569,23.219749,70000,85350,61900,38560,75000,63400
2023,east south central div,200,"Morristown, TN",63.051472,7.352941,14.522058,3.125,11.948529,16.699726,4.606554,45.048965,34.212334,8.6800203,30.730026,65200,87000,32000,48600,65200,53000
2023,east south central div,301,"Middlesborough, TN",61.683079,7.6096687,16.204119,5.9086838,8.594449,27.262968,12.936826,58.158566,49.181931,16.205345,43.10535,55000,75000,15500,21600,30000,40000
2023,east south central div,302,"Knoxville, TN",67.66024,6.7458539,15.127746,4.1685343,6.2976246,15.652658,8.5213566,43.543045,26.573303,17.541012,20.294266,80000,108000,62000,40000,55000,67000
2023,south atlantic division,401,"Winston-Salem, NC",65.51152,7.5111923,17.161333,4.0955067,5.7204442,20.540508,12.916726,16.611382,39.921246,8.7496157,26.79225,67400,91900,74700,36000,80000,41000
2023,south atlantic division,402,"Martinsville, VA",58.952812,9.3729801,19.650938,5.8823528,6.1409178,15.750976,3.1043253,43.646011,16.944067,17.33544,45.971199,65000,103000,37300,41200,56000,27810
2023,south atlantic division,500,"Greensboro, NC",67.005127,6.5848999,17.392179,4.5440836,4.4737105,15.090879,7.9333124,16.823479,25.978458,22.131054,35.145065,75000,96000,52000,43400,71000,38000
2023,south atlantic division,601,"North Wilkesboro, NC",66.847198,6.499033,16.247581,4.2166343,6.1895552,12.226362,5.9343047,17.681812,29.769186,4.817914,16.444181,68000,92360,36000,34000,105100,77500
2023,south atlantic division,602,"Galax, VA",63.352345,7.3642449,18.001488,4.5871558,6.694768,20.077728,8.1031609,29.436462,40.200104,18.80241,25.086248,59600,84000,44600,30000,100000,60500
2023,south atlantic division,700,"Spartanburg, SC",64.540482,6.6649308,18.875294,4.4519658,5.4673262,17.670757,11.025478,35.599697,26.877264,11.730333,46.2911,72000,90000,48000,41600,81000,38000
2023,south atlantic division,800,"Gastonia, NC",63.930172,7.2422743,18.660061,4.5293703,5.6381221,18.455946,9.9902945,19.341936,36.705318,22.273775,29.162172,70250,90000,57000,39700,46000,61700
2023,south atlantic division,900,"Charlotte, NC",66.481415,6.0383029,18.415321,4.1532106,4.9117537,14.869541,7.9126992,27.75951,29.703934,12.003724,34.158131,100000,127500,72300,43000,65000,61800
2023,south atlantic division,1001,"Boone, NC",66.855347,5.345912,16.981133,4.3396225,6.4779873,13.940665,6.8409882,15.197687,39.48008,13.286477,19.813139,80000,90620,80000,31000,58000,63400
2023,south atlantic division,1002,"Morganton, NC",65.089378,6.7823343,17.297581,4.4865055,6.3441992,14.537544,8.6891346,11.124102,29.74925,.45292476,24.246666,69000,90000,80000,27400,46000,51700
2023,south atlantic division,1100,"Hickory, NC",67.212723,6.2915478,16.0019,4.4396963,6.054131,9.5602274,2.5766659,7.30969,26.562717,14.534608,25.263981,90000,114000,85300,37130,52000,39000
2023,south atlantic division,1201,"Franklin, NC",67.696762,6.880734,15.692902,4.3698697,5.3597298,14.280454,2.6243117,19.730927,34.804367,19.224186,43.708878,77800,99000,54000,45000,65500,44000
2023,south atlantic division,1202,"Sylva, NC",64.079605,6.6666665,17.810946,4.1791043,7.2636814,17.586472,2.2825091,24.328297,42.777637,19.362696,45.091587,76000,99300,41300,45000,47000,50700
2023,south atlantic division,1203,"Asheville, NC",66.810677,6.0991106,17.153748,4.1931386,5.743329,17.756872,12.175684,29.982218,28.845354,25.709904,43.243462,79200,99000,49000,45600,39000,34000
2023,south atlantic division,1204,"Andrews, NC",67.696762,6.880734,15.692902,4.3698697,5.3597298,13.331594,2.7143006,18.246773,32.408901,19.184488,43.148949,77990,99000,63000,45000,74400,44000
2023,south atlantic division,1301,"Bennettsville, SC",52.351376,7.9562259,26.501036,3.9041703,9.2871933,22.882643,8.2168961,12.43718,45.191654,8.5631628,31.832685,68000,100000,76800,35000,65000,52000
2023,south atlantic division,1302,"Florence, SC",52.617229,9.5692472,25.027264,3.9258451,8.8604145,20.286959,7.0028586,16.882053,38.22049,17.921846,34.922211,68000,102100,69800,35000,61600,35000
2023,south atlantic division,1400,"Fayetteville, NC",53.584671,7.0828185,27.812113,5.3893695,6.1310258,17.207932,6.9034586,16.668089,32.994003,17.899059,32.032143,71900,89170,88000,35250,80000,46000
2023,south atlantic division,1500,"Wilmington, NC",55.318066,7.8880405,24.834606,5.9541984,6.0050893,15.479824,7.4711723,8.1291246,30.871895,7.9007072,47.825203,85000,105000,85000,40000,86000,50700
2023,south atlantic division,1600,"Wilson, NC",57.165604,8.1608276,24.64172,4.2993631,5.7324839,19.315119,2.9873869,29.179573,42.350479,9.0496101,42.016869,69400,97200,38000,28000,70600,42100
2023,south atlantic division,1701,"Raleigh, NC",72.112724,4.9828367,15.635035,3.7592735,3.5101318,12.850718,7.6080298,18.994509,30.000385,11.484745,26.545269,112000,132000,78000,45000,81000,84100
