year,region,czone,czname,cz_shcollege,cz_shnoncollege,cz_shpov_col,cz_shpov_noncol,cz_hhinc_col,cz_hhinc_noncol,cz_shmarr_noncol,cz_shcoh_noncol,cz_shunpmom_noncol,cz_shmarr_col,cz_shcoh_col,cz_shunpmom_col,cz_shpov_marr_col,cz_shpov_cohab_col,cz_shpov_unpmom_col,cz_shpov_marr_noncol,cz_shpov_cohab_noncol,cz_shpov_unpmom_noncol,cz_hhinc_marr_col,cz_hhinc_cohab_col,cz_hhinc_unpmom_col,cz_hhinc_marr_noncol,cz_hhinc_cohab_noncol,cz_hhinc_unpmom_noncol
2023,south atlantic division,100,"Johnson City, TN",28.282421,71.717575,2.9691095,23.450024,126200,54000,59.904034,11.994612,28.101353,89.736649,1.5101004,8.7532482,1.55267,.0010385618,18.002228,16.613392,22.415451,38.465355,138500,38500,61000,69600,66000,35100
2023,east south central div,200,"Morristown, TN",23.685371,76.314629,2.3285351,19.110689,135000,57000,64.62735,13.226637,22.146011,80.906006,4.0728197,15.02117,2.8780742,0,0,5.2781391,49.354259,41.414501,137000,81440,61500,70000,32000,35000
2023,east south central div,301,"Middlesborough, TN",20.272932,79.727066,5.0984468,31.567938,123000,50000,60.567181,15.071024,24.361797,89.659607,1.7360853,8.6043081,4.7268486,0,9.9993296,16.027208,59.862106,52.700859,123000,77500,57600,65000,15500,21440
2023,east south central div,302,"Knoxville, TN",42.21027,57.78973,2.147733,24.79286,136000,63200,59.760712,12.108818,28.130466,86.702492,4.3701138,8.9273939,1.2709171,5.5512762,8.997241,16.208561,53.55798,30.647451,141700,140000,55000,75000,40000,34000
2023,south atlantic division,401,"Winston-Salem, NC",36.762489,63.237511,9.0659399,27.553316,115000,50200,51.416164,14.852317,33.731518,78.138885,5.3592224,16.501886,10.233941,3.5166502,5.3374896,15.354002,19.358231,49.756824,126000,91000,65000,64400,65000,19200
2023,south atlantic division,402,"Martinsville, VA",28.09202,71.907982,1.0253366,18.598547,119000,53000,44.686626,17.44805,37.865322,72.174911,8.2768965,19.548189,1.4186645,.017117232,0,4.1679411,51.731396,20.361408,134900,114000,68840,92000,37300,40000
2023,south atlantic division,500,"Greensboro, NC",30.901028,69.098969,1.7617455,18.616388,124300,56600,57.377617,13.401778,29.220602,78.008537,5.8445897,16.146873,1.6315364,2.6747406,2.0603383,11.63133,19.582851,31.889004,136000,76200,68840,75000,47700,40000
2023,south atlantic division,601,"North Wilkesboro, NC",32.401192,67.598808,2.6609042,16.730276,117000,53800,55.863285,16.942703,27.194012,93.216431,.34577757,6.4377913,2.1235082,0,10.585081,8.9822617,17.85478,31.94603,124600,86000,65000,67400,36000,34000
2023,south atlantic division,602,"Galax, VA",23.988693,76.011307,1.511434,25.347605,101000,47000,52.832581,16.309259,30.858162,81.377747,3.1222219,15.500036,.69227046,.0018382989,6.1162601,11.705661,31.214809,45.603165,109650,39000,55700,63300,44600,28000
2023,south atlantic division,700,"Spartanburg, SC",31.725826,68.27417,4.8070374,21.891687,124000,55000,59.526497,7.6483121,32.825191,88.614563,1.3582892,10.027148,3.6749973,7.6510973,14.426136,16.110216,37.906055,28.644667,127000,110000,58000,72000,48000,41400
2023,south atlantic division,800,"Gastonia, NC",29.335993,70.664009,6.2267437,22.350065,119200,65000,58.237457,12.110823,29.65172,84.617424,.30866888,15.073909,5.482408,0,10.532579,12.811672,19.546591,42.228989,130000,126000,60000,74900,56000,37000
2023,south atlantic division,900,"Charlotte, NC",47.006489,52.993511,4.7136502,22.557814,145000,69800,59.564327,10.152192,30.283482,83.084091,4.1502318,12.76568,3.0614705,17.286354,11.379192,13.92594,31.446806,36.555836,160000,136200,83000,90000,60000,35500
2023,south atlantic division,1001,"Boone, NC",41.178791,58.821209,6.8873158,18.418072,115000,66000,60.856277,11.617754,27.52597,92.196175,.79430372,7.009522,5.522007,0,25.625669,8.2502651,15.9251,41.949947,116200,86000,60000,80000,80000,31000
2023,south atlantic division,1002,"Morganton, NC",29.389698,70.610306,4.653594,18.519941,115000,53700,59.906067,7.0459237,33.048012,87.507957,.97525918,11.516781,4.0332589,0,9.761158,11.520224,11.764978,32.648487,115000,86000,100400,72500,80000,26000
2023,south atlantic division,1100,"Hickory, NC",39.917873,60.082127,.50646776,13.013297,142000,71000,61.02515,11.019262,27.955585,81.098061,9.2332582,9.6686802,.62358028,0,.0078216763,4.3061352,11.379025,32.664619,155000,142000,57000,98000,69000,30000
