year,region,czone,czname,cz_shwhite,cz_shhispanic,cz_shblack,cz_shasian,cz_shother_race,cz_shpov_white,cz_shpov_hispanic,cz_shpov_black,cz_shpov_asian,cz_shpov_other_race,cz_hhinc_white,cz_hhinc_hispanic,cz_hhinc_black,cz_hhinc_asian,cz_hhinc_other_race,cz_shmarr_white,cz_shcoh_white,cz_shunpmom_white,cz_shmarr_hispanic,cz_shcoh_hispanic,cz_shunpmom_hispanic,cz_shmarr_black,cz_shcoh_black,cz_shunpmom_black,cz_shmarr_asian,cz_shcoh_asian,cz_shunpmom_asian,cz_shmarr_other_race,cz_shcoh_other_race,cz_shunpmom_other_race,cz_shpov_white_marr,cz_shpov_white_coh,cz_shpov_white_unpmom,cz_shpov_hispanic_marr,cz_shpov_hispanic_coh,cz_shpov_hispanic_unpmom,cz_shpov_black_marr,cz_shpov_black_coh,cz_shpov_black_unpmom,cz_shpov_asian_marr,cz_shpov_asian_coh,cz_shpov_asian_unpmom,cz_shpov_other_marr,cz_shpov_other_coh,cz_shpov_other_unpmom,cz_hhinc_white_marr,cz_hhinc_white_coh,cz_hhinc_white_unpmom,cz_hhinc_hispanic_marr,cz_hhinc_hispanic_coh,cz_hhinc_hispanic_unpmom,cz_hhinc_black_marr,cz_hhinc_black_coh,cz_hhinc_black_unpmom,cz_hhinc_asian_marr,cz_hhinc_asian_coh,cz_hhinc_asian_unpmom,cz_hhinc_other_marr,cz_hhinc_other_coh,cz_hhinc_other_unpmom
2023,south atlantic division,100,"Johnson City, TN",89.871666,4.3807888,2.7765472,.84664524,2.1243558,16.985445,20.192104,45.547802,0,11.447916,73300,48000,33200,155000,64000,68.211494,8.9813795,22.807125,83.056816,1.5461358,15.39705,35.257023,24.860487,39.882488,100,0,0,74.116531,9.3970985,16.486366,10.49679,23.188421,33.948982,18.052271,83.465187,25.381348,40.091194,0,78.763489,0,,,3.0061836,0,55.924011,89900,51000,39000,70000,23700,39800,33200,78400,5000,155000,,,64000,70000,8600
2023,east south central div,200,"Morristown, TN",79.425217,15.388473,.34896314,1.0168064,3.820545,9.8022881,37.599377,0,34.911243,31.653543,79000,38300,120550,55000,95500,71.115822,7.3908544,21.493322,55.245667,32.425388,12.328946,81.034485,0,18.965517,82.840233,17.159763,0,62.099735,.62992126,37.27034,2.3824739,11.069354,33.916821,17.10309,86.816719,0,0,,,42.142857,0,,0,,84.929581,91250,53000,48600,52000,16000,31220,120550,,,55000,308700,,138000,,28400
2023,east south central div,301,"Middlesborough, TN",94.287071,.65812385,.2779265,.051109593,4.7257705,24.657389,39.247387,20.147169,0,55.83799,63000,80000,41500,314400,27600,68.258804,12.362292,19.378904,28.080536,34.099255,37.82021,,,,,,,39.568718,10.309048,50.122231,12.578754,61.290722,43.832939,,,,,,,,,,26.893106,8.0825357,88.510612,75000,15500,27200,,,,,,,,,,98600,52480,7500
2023,east south central div,302,"Knoxville, TN",79.685974,8.0972872,5.9122996,2.0135634,4.2908764,12.622627,39.6464,19.193392,0,19.361397,99000,52500,26200,163400,78000,75.587692,8.8254366,15.586874,56.572365,13.98762,29.440016,23.729223,3.8567152,72.414063,94.648338,0,5.3516603,70.161728,10.464431,19.37384,7.3254995,37.70623,24.108187,17.942797,75.244827,64.438736,9.8027344,100,17.966902,0,,0,22.953627,26.3251,2.5909402,114000,66000,54700,64320,40000,26400,48000,24000,26200,175000,,160000,72000,55000,99700
2023,south atlantic division,401,"Winston-Salem, NC",53.793758,21.438347,17.371044,1.7072847,5.6895647,7.7983208,47.193371,34.217617,6.6486464,6.8008556,96000,27800,55000,70000,44600,73.937668,10.351735,15.710601,55.916977,11.646008,32.437016,30.711483,18.309916,50.9786,99.993591,0,.0064097838,42.823997,2.0475366,55.128468,4.7672677,11.11457,19.878067,47.795933,23.587023,54.630135,7.7391650e-07,21.367834,59.446873,6.6490726,,,7.9117408,0,6.1905084,105000,70000,51000,30000,78000,13000,88670,83200,8100,70000,,,79000,38500,44600
2023,south atlantic division,402,"Martinsville, VA",64.193024,7.9426141,19.51652,2.2751918,6.0726533,6.4320378,29.2104,17.989256,31.445793,49.180458,89200,48000,42000,64170,38400,63.27029,10.737707,25.992002,50.15049,21.65258,28.19693,23.660027,13.04633,63.29364,88.51107,0,11.488933,19.41263,61.140633,19.446737,1.7215315,10.504169,16.21619,5.1964068,90.964371,24.499985,.11465601,47.754272,18.535746,35.527523,,0,0,80.438248,0,110000,60500,41200,98000,29000,44200,69700,37000,33600,64170,,563500,96900,37300,63500
2023,south atlantic division,500,"Greensboro, NC",51.802399,17.069086,22.001017,3.2818065,5.8456941,9.5877085,14.556877,17.438429,27.404564,20.882814,94800,62000,51600,101700,50000,70.838676,12.447368,16.713957,72.477875,8.9349127,18.587206,43.461124,9.4307804,47.108093,92.660126,3.3601708,3.9796994,35.624935,15.536984,48.838078,5.1046705,10.573151,27.854261,13.817146,14.182022,17.621536,5.030117,22.364626,27.899929,29.574181,0,.027452974,2.0129454,55.016792,23.788305,110000,58000,45000,64300,45000,43000,96000,47700,38620,101700,77000,109000,96000,37300,48000
2023,south atlantic division,601,"North Wilkesboro, NC",81.296608,14.006268,1.5426294,.2640546,2.890439,10.242296,14.649611,16.94651,11.148698,51.97369,73600,61000,36000,60000,20500,71.878685,7.5797977,20.541521,57.251785,29.772562,12.975651,3.2489598,64.127846,32.623192,99.702873,0,.29712608,41.48127,8.4313736,50.087357,3.6498983,28.421009,26.602423,21.169588,6.9490447,3.5507793,,.38478386,51.081337,11.181922,,,14.42686,0,91.818062,95000,42000,35200,61000,36000,105100,,36000,7990,60000,,,73000,23000,20500
2023,south atlantic division,602,"Galax, VA",89.26236,6.6586061,2.1912396,.069195345,1.8185984,17.93856,19.970522,69.719162,11.232615,41.350067,61700,56000,7000,60000,35000,62.248981,12.840784,24.910234,51.03318,18.374992,30.591827,.60483229,11.997084,87.398079,99.99984,0,.000160266,34.902298,10.858483,54.23922,7.5691171,31.96916,36.618568,16.971279,16.702871,26.936567,,.38554946,79.719032,11.232633,,,7.2061605,0,71.599403,84000,44600,31800,95600,36000,15000,,36000,5000,60000,,,97900,44100,20500
2023,south atlantic division,700,"Spartanburg, SC",59.207863,12.27361,20.860546,3.4020841,4.2558932,13.182995,20.598001,19.972723,33.913818,19.214687,90000,58800,45000,72000,59000,80.073723,4.0004563,15.925816,77.148026,12.590157,10.261818,29.460482,7.7421503,62.797367,93.417213,3.4007833,3.1819992,59.9729,.19142084,39.835678,7.594131,32.098995,36.531784,16.980083,42.637955,20.756741,15.803268,36.471375,19.89468,36.268597,0,1.0277953,9.7361212,,33.331524,105000,47000,41600,75600,48000,86000,64300,66000,41400,72000,188100,53800,75000,,53600
