year,region,countyfip,puma,puma_str,pumaID,puma_name,puma_shcollege,puma_shnoncollege,puma_shpov_col,puma_shpov_noncol,puma_shmarr_noncol,puma_shcoh_noncol,puma_shunpmom_noncol,puma_shmarr_col,puma_shcoh_col,puma_shunpmom_col,puma_shpov_marr_col,puma_shpov_cohab_col,puma_shpov_unpmom_col,puma_shpov_marr_noncol,puma_shpov_cohab_noncol,puma_shpov_unpmom_noncol
2023,east south central div,0,100,00100,0100100,"Lauderdale, Colbert & Franklin Counties PUMA",37.219387,62.780613,.50262737,19.544901,65.790779,8.050024,26.159195,86.497597,4.6454954,8.856904,.58108819,0,0,17.506176,0,30.686918
2023,east south central div,83,200,00200,0100200,Limestone County PUMA,49.101849,50.898151,3.6148767,13.29533,62.913906,19.875933,17.210159,77.62426,5.8741746,16.501564,4.6568899,0,0,3.6508992,9.1100807,53.385288
2023,east south central div,0,300,00300,0100300,Morgan & Lawrence Counties--Decatur City PUMA,37.993156,62.006844,.62783974,14.3197,64.132416,7.8912735,27.976311,80.677406,4.5435772,14.779016,0,13.818182,0,7.8847671,23.412443,26.506243
2023,east south central div,0,401,00401,0100401,Madison County (North & East)--Huntsville City (East) PUMA,59.170795,40.829205,1.1533453,3.5136592,82.431702,9.1211357,8.4471607,94.444099,.73169219,4.8242078,0,0,23.907454,2.9870272,0,12.446809
2023,east south central div,0,402,00402,0100402,"Huntsville (North & Far West), Madison (East) & Triana Cities PUMA",61.84103,38.15897,2.6331992,41.208073,34.285057,6.0940976,59.620846,85.020126,2.9505091,12.029364,.40106949,0,19.055119,13.051266,100,51.39032
2023,east south central div,0,403,00403,0100403,Huntsville City (Central & South) PUMA,41.884346,58.115654,2.9455323,26.280836,47.912712,8.2542696,43.833015,85.634354,3.1429985,11.222643,0,0,26.246334,9.3811884,0,49.702381
2023,east south central div,0,501,00501,0100501,Marshall & Madison (Far Southeast) Counties PUMA,29.266378,70.73362,9.3163538,26.450359,74.836388,2.1963396,22.967278,95.294907,2.7747989,1.930295,9.2558727,0,25.694445,16.223227,50.757576,57.44989
2023,east south central div,0,600,00600,0100600,DeKalb & Jackson Counties PUMA,14.739815,85.260185,0,19.847654,74.186226,5.2564344,20.557343,86.152161,10.536399,3.3114395,0,0,0,23.762754,8.2808275,8.6766396
2023,east south central div,0,700,00700,0100700,Etowah & Cherokee Counties PUMA,22.553078,77.446922,10.18354,18.534483,58.54023,10.522988,30.936781,82.257751,10.18354,7.558713,0,100,0,11.191833,25.068268,30.206203
2023,east south central div,15,800,00800,0100800,Calhoun County PUMA,24.779604,75.220398,1.0384616,30.712704,48.121635,17.560976,34.31739,90.557693,1,8.4423084,0,0,12.300684,20.063192,15.945167,53.202881
2023,east south central div,0,900,00900,0100900,St. Clair & Blount Counties PUMA,24.98909,75.01091,3.4930139,12.442856,79.257751,5.8099909,14.932259,91.729042,0,8.2709579,0,,42.232277,12.851974,0,15.112719
2023,east south central div,0,1000,01000,0101000,"Cullman, Marion & Winston Counties PUMA",17.986511,82.013489,1.2698413,21.504721,62.621296,6.8317308,30.546972,85.476189,4.7420635,9.7817459,0,0,12.981744,6.6499896,29.363056,50.199432
2023,east south central div,0,1100,01100,0101100,West Alabama PUMA,17.886179,82.113823,0,22.690258,53.811001,4.9856467,41.20335,90.129105,1.9903173,7.8805814,0,0,0,5.6722918,22.326675,44.959476
2023,east south central div,125,1201,01201,0101201,Tuscaloosa County (Outer)--Northport City (North & West) PUMA,39.063396,60.936604,3.7597005,20.061756,72.510506,7.1361175,20.353374,89.858177,.50842923,9.6333961,4.1840382,0,0,2.1764846,94.831726,57.564266
2023,east south central div,125,1202,01202,0101202,Tuscaloosa & Northport (Southeast) Cities PUMA,28.695892,71.304108,12.391812,44.706142,35.168907,13.517997,51.313095,98.887215,0,1.1127902,12.531259,,0,0,39.222904,76.79129
2023,east south central div,0,1301,01301,0101301,"Jefferson (Northwest) & Walker Counties--Adamsville, Warrior & Graysville Cities PUMA",32.166351,67.833649,0,19.07814,72.728798,4.570282,22.700926,71.415138,14.621532,13.963328,0,0,0,16.721588,0,30.468941
2023,east south central div,0,1401,01401,0101401,"Jefferson County (West)--Bessemer, Hueytown & Pleasant Grove Cities PUMA",40.524956,59.475044,3.4347401,8.7596121,51.328987,10.991307,37.679707,74.668793,0,25.331207,0,,13.559322,4.0058622,0,17.790594
2023,east south central div,0,1402,01402,0101402,"Jefferson County (Northeast)--Trussville, Center Point & Gardendale Cities PUMA",35.551567,64.448433,0,9.8867388,53.959419,7.5035391,38.537045,70.416626,0,29.583368,0,,0,3.9618683,0,20.107763
2023,east south central div,0,1403,01403,0101403,Birmingham City PUMA,18.785339,81.214661,9.84764,39.380264,17.130823,26.942581,55.926598,73.337051,6.5960608,20.066891,5.3711677,0,29.444445,4.6663322,25.139576,56.873894
2023,east south central div,0,1404,01404,0101404,"Jefferson County (Southeast)--Hoover (North), Vestavia Hills & Homewood Cities PUMA",75.575035,24.424965,1.092713,12.072184,67.320061,17.288944,15.390998,93.346519,0,6.6534824,0,,16.423174,16.592205,0,5.8625336
2023,east south central div,0,1501,01501,0101501,"Shelby County (North)--Hoover (South), Alabaster (North) & Pelham Cities PUMA",62.425568,37.574432,3.9512093,11.570105,66.086426,12.540054,21.373516,82.016266,1.8035862,16.180151,.33685014,0,22.712629,9.382781,0,25.121555
2023,east south central div,0,1502,01502,0101502,Shelby (South and East) and Chilton Counties--Alabaster (South) & Chelsea Cities PUMA,28.23176,71.768242,0,21.925766,70.286499,8.7525845,20.960913,87.060448,0,12.939557,0,,0,13.188122,5.286839,58.172852
