year,region,countyfip,puma,puma_str,pumaID,puma_name,puma_shcollege_white,puma_shcollege_hispanic,puma_shcollege_black,puma_shcollege_asian,puma_shcollege_other,puma_shnoncollege_white,puma_shnoncollege_hispanic,puma_shnoncollege_black,puma_shnoncollege_asian,puma_shnoncollege_other,puma_shmarr_white_noncol,puma_shcoh_white_noncol,puma_shunpmom_white_noncol,puma_shmarr_hispanic_noncol,puma_shcoh_hispanic_noncol,puma_shunpmom_hispanic_noncol,puma_shmarr_black_noncol,puma_shcoh_black_noncol,puma_shunpmom_black_noncol,puma_shmarr_asian_noncol,puma_shcoh_asian_noncol,puma_shunpmom_asian_noncol,puma_shmarr_other_noncol,puma_shcoh_other_noncol,puma_shunpmom_other_noncol,puma_shmarr_white_col,puma_shcoh_white_col,puma_shunpmom_white_col,puma_shmarr_hispanic_col,puma_shcoh_hispanic_col,puma_shunpmom_hispanic_col,puma_shmarr_black_col,puma_shcoh_black_col,puma_shunpmom_black_col,puma_shmarr_asian_col,puma_shcoh_asian_col,puma_shunpmom_asian_col,puma_shmarr_other_col,puma_shcoh_other_col,puma_shunpmom_other_col,puma_shpov_white_noncol,puma_shpov_hispanic_noncol,puma_shpov_black_noncol,puma_shpov_asian_noncol,puma_shpov_other_noncol,puma_shpov_white_col,puma_shpov_hispanic_col,puma_shpov_black_col,puma_shpov_asian_col,puma_shpov_other_col,puma_shpov_white_noncol_marr,puma_shpov_white_noncol_coh,puma_shpov_white_noncol_unpmom,puma_shpov_hisp_noncol_marr,puma_shpov_hisp_noncol_coh,puma_shpov_hisp_noncol_unpmom,puma_shpov_black_noncol_marr,puma_shpov_black_noncol_coh,puma_shpov_black_noncol_unpmom,puma_shpov_asian_noncol_marr,puma_shpov_asian_noncol_coh,puma_shpov_asian_noncol_unpmom,puma_shpov_other_noncol_marr,puma_shpov_other_noncol_coh,puma_shpov_other_noncol_unpmom,puma_shpov_white_col_marr,puma_shpov_white_col_coh,puma_shpov_white_col_unpmom,puma_shpov_hisp_col_marr,puma_shpov_hisp_col_coh,puma_shpov_hisp_col_unpmom,puma_shpov_black_col_marr,puma_shpov_black_col_coh,puma_shpov_black_col_unpmom,puma_shpov_asian_col_marr,puma_shpov_asian_col_coh,puma_shpov_asian_col_unpmom,puma_shpov_other_col_marr,puma_shpov_other_col_coh,puma_shpov_other_col_unpmom
2023,east south central div,0,100,00100,0100100,"Lauderdale, Colbert & Franklin Counties PUMA",45.622208,8.8105726,7.5243669,67.755104,20.785597,54.377792,91.18943,92.475632,32.244896,79.214401,68.382355,12.5,19.117647,100,0,0,37.5,0,62.5,100,0,0,68.75,6.25,25,88.181816,2.7272727,9.090909,100,0,0,100,0,0,100,0,0,100,0,0,16.274214,46.316425,22.554806,0,0,.56647497,0,0,0,0,11.472081,0,35.152714,46.316425,,,0,,39.483395,0,,,0,0,0,.66815144,0,0,0,,,0,,,0,,,0,,
2023,east south central div,83,200,00200,0100200,Limestone County PUMA,51.340248,26.531658,63.34679,91.961411,47.142078,48.659752,73.468338,36.65321,8.0385895,52.857922,65.217392,26.086956,8.695652,83.333328,0,16.666668,9.090909,18.181818,72.727272,100,0,0,40,0,60.000004,79.710144,8.695652,11.594203,100,0,0,28.57143,0,71.428574,90.909096,0,9.090909,100,0,0,4.5121107,12.770411,37.698898,0,60.350155,4.8668504,0,0,7.8671327,0,2.5217791,9.7560968,0,6.6075745,,52.604168,0,0,70.967743,0,,,0,,100,6.2468429,0,0,0,,,0,,0,9.5541401,,0,0,,
2023,east south central div,0,300,00300,0100300,Morgan & Lawrence Counties--Decatur City PUMA,42.563461,0,41.553719,100,33.254715,57.436539,100,58.446281,0,66.745285,68.939392,6.818182,24.242424,50,7.1428576,42.857143,30.000002,30.000002,40,,,,75,0,25,88.15789,3.9473681,7.8947363,,,,50,0,50,0,0,100,50,50,0,9.237792,7.7624307,72.002258,,0,.74305826,,0,0,0,2.3567276,9.7902098,29.106279,0,100,0,100,0,86.979172,,,,0,,0,0,22.157434,0,,,,0,,0,,,0,0,0,
2023,east south central div,0,401,00401,0100401,Madison County (North & East)--Huntsville City (East) PUMA,57.378292,83.791748,56.486214,77.241379,77.617332,42.621708,16.208252,43.513786,22.758621,22.382668,88.4058,7.2463765,4.347826,100,0,0,25,41.666664,33.333336,100,0,0,100,0,0,95.294121,0,4.7058825,100,0,0,90.909096,0,9.090909,100,0,0,88.888893,11.111112,0,2.0949411,65.454544,0,0,51.075268,.99329531,0,2.9837251,0,0,.88594955,0,31.283422,65.454544,,,0,0,0,0,,,51.075268,,,0,,16.853933,0,,,0,,100,0,,,0,0,
2023,east south central div,0,402,00402,0100402,"Huntsville (North & Far West), Madison (East) & Triana Cities PUMA",80.820549,45.707966,42.786812,77.586212,29.778671,19.179451,54.292034,57.213188,22.413788,70.221329,78.260872,0,21.73913,42.857143,0,57.14286,12.820514,7.6923079,79.487183,100,0,0,63.636364,0,36.363636,93.939392,0,6.060606,83.333328,0,16.666668,59.259258,11.111112,29.629629,100,0,0,100,0,0,9.4260874,17.685411,63.63755,0,0,1.0895584,0,6.1366806,3.7209301,0,0,,47.294937,63.081394,,0,37.044533,100,63.196331,0,,,0,,0,0,,22.184874,0,,0,0,0,18.644068,3.7209301,,,0,,
2023,east south central div,0,403,00403,0100403,Huntsville City (Central & South) PUMA,45.923965,61.791462,4.1232638,,72.280701,54.076035,38.208538,95.87674,,27.719299,68.888893,15.555556,15.555556,50,0,50,7.1428576,0,92.85714,,,,100,0,0,93.220345,3.3898306,3.3898306,60.000004,0,40,100,0,0,,,,100,0,0,19.894909,0,50.611137,,0,3.8190742,0,0,,0,10.392103,0,61.139458,0,,0,0,,53.544064,,,,0,,,0,0,100,0,,0,0,,,,,,0,,
2023,east south central div,0,501,00501,0100501,Marshall & Madison (Far Southeast) Counties PUMA,34.852562,15.94064,5.9113302,20.491802,27.981651,65.147438,84.059357,94.088669,79.508194,72.018349,73.36956,7.065217,19.565218,92.68293,0,7.3170729,20,0,80,100,0,0,87.5,0,12.5,93.269226,0,6.7307696,71.428574,28.57143,0,100,0,0,100,0,0,100,0,0,16.986488,53.056187,0,0,0,11.179026,0,0,0,0,2.5857027,50.757576,57.953697,44.314342,,100,0,,0,0,,,0,,0,10.834843,,25.694445,0,0,,0,,,0,,,0,,
2023,east south central div,0,600,00600,0100600,DeKalb & Jackson Counties PUMA,16.865978,3.6418817,0,0,53.733765,83.134018,96.358116,100,100,46.266235,74.418602,7.9069772,17.674419,80.952385,11.904762,7.1428576,0,0,100,100,0,0,100,0,0,91.666672,2.7777779,5.5555558,100,0,0,,,,,,,50,25,25,7.6977901,54.448818,76.213593,59.848488,1.7543859,0,0,,,0,9.1277695,0,5.3895149,57.406609,25.205479,0,,,76.213593,59.848488,,,1.7543859,,,0,0,0,0,,,,,,,,,0,0,0
2023,east south central div,0,700,00700,0100700,Etowah & Cherokee Counties PUMA,25.622114,0,17.420662,0,0,74.377884,100,82.579338,100,100,59.859158,17.605635,22.535212,55.555557,0,44.444447,16.666668,0,83.333328,50,0,50,20,10,70,91.836731,0,8.1632652,,,,0,100,0,,,,,,,15.782303,20.654396,28.127554,100,20.031055,0,,100,,,12.459208,26.109215,19.3874,0,,70.877197,0,,41.22229,100,,100,0,0,25.494072,0,,0,,,,,100,,,,,,,
2023,east south central div,15,800,00800,0100800,Calhoun County PUMA,30.064478,35.145782,6.7253656,,57.35849,69.935524,64.854218,93.274635,,42.64151,69.767441,12.790698,17.44186,50,16.666668,33.333336,12.121212,12.121212,75.757576,,,,100,0,0,91.666672,2.0833335,6.25,100,0,0,25,0,75,,,,100,0,0,14.052685,0,69.511948,,0,0,0,15.041783,,0,7.8891253,0,42.477478,0,0,0,80,68.52713,64.979897,,,,0,,,0,0,0,0,,,0,,20.769232,,,,0,,
